Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
2,8:08,2,4,DAL 49,17,7,Rico Dowdle right guard for -2 yards (tackle by Danielle Hunter),2.060,1.090
2,7:33,3,6,DAL 47,17,7,Cooper Rush pass complete short left to Brevyn Spann-Ford for 17 yards (tackle by Azeez Al-Shaair),1.090,3.180
2,6:59,1,10,HOU 36,17,7,Cooper Rush pass incomplete short right intended for Brevyn Spann-Ford (defended by Calen Bullock),3.180,2.640
2,6:51,2,10,HOU 36,17,7,Cooper Rush pass complete short right to Rico Dowdle for 1 yard (tackle by Jalen Pitre),2.640,2.080
2,6:06,3,9,HOU 35,17,7,Cooper Rush pass incomplete short left intended for Jalen Tolbert (defended by Denico Autry),2.080,0.970
2,6:00,4,9,HOU 35,17,10,Brandon Aubrey 53 yard field goal good,0.970,3.000
2,5:55,,,DAL 35,17,10,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
2,5:55,1,10,HOU 30,17,10,C.J. Stroud pass complete short left to Cade Stover for 12 yards (tackle by Marist Liufau and Chauncey Golston). Penalty on Micah Parsons: Defensive Offside 5 yards (declined),0.940,1.730
2,5:31,1,10,HOU 42,17,10,C.J. Stroud pass incomplete short left intended for Joe Mixon (defended by Donovan Wilson),1.730,1.190
2,5:25,2,10,HOU 42,17,10,Joe Mixon right guard for no gain (tackle by Eric Kendricks),1.190,0.500
2,4:45,3,10,HOU 42,17,10,C.J. Stroud pass complete short left to Nico Collins for 7 yards (tackle by DeMarvion Overshown and Malik Hooker),0.500,-0.130
2,4:04,4,3,HOU 49,17,10,Tommy Townsend punts 51 yards touchback.,-0.130,-0.280
2,3:55,1,10,DAL 20,17,10,Rico Dowdle right tackle for 9 yards (tackle by Dylan Horton and Mario Edwards),0.280,0.950
2,3:22,2,1,DAL 29,17,10,Rico Dowdle left guard for 3 yards (tackle by Dylan Horton and Jalen Pitre),0.950,1.070
2,2:51,1,10,DAL 32,17,10,Cooper Rush pass complete short left to Luke Schoonmaker for 8 yards (tackle by Henry To'oTo'o),1.070,1.610
2,2:17,2,2,DAL 40,17,10,Cooper Rush pass complete short left to Rico Dowdle for 5 yards (tackle by Azeez Al-Shaair),1.610,1.930
2,2:00,1,10,DAL 45,17,10,Cooper Rush pass incomplete deep left intended for Ryan Flournoy. Penalty on Ka'dar Hollman: Illegal Contact 5 yards (accepted) (no play),1.930,2.260
2,1:55,1,10,DAL 50,17,10,Cooper Rush pass incomplete short left,2.260,1.710
2,1:51,2,10,DAL 50,17,10,Cooper Rush pass incomplete short middle intended for Brevyn Spann-Ford. Penalty on Azeez Al-Shaair: Illegal Contact 5 yards (accepted) (no play),1.710,2.590
2,1:47,1,10,HOU 45,17,10,Cooper Rush pass incomplete short middle intended for Rico Dowdle (defended by Tommy Togiai),2.590,2.040
2,1:42,2,10,HOU 45,17,10,Cooper Rush pass complete short right to CeeDee Lamb for 5 yards (tackle by Jalen Pitre),2.040,2.010
2,1:34,,,,,,Timeout #1 by Houston Texans,,
2,1:34,3,5,HOU 40,17,10,Cooper Rush pass complete short middle to Ryan Flournoy for 15 yards (tackle by Ka'dar Hollman),2.010,3.910
2,1:13,1,10,HOU 25,17,10,Cooper Rush pass complete short right to Luke Schoonmaker for 1 yard,3.910,3.500
2,1:10,2,9,HOU 24,17,10,Cooper Rush pass incomplete short right intended for Rico Dowdle,3.500,2.810
2,1:06,3,9,HOU 24,17,10,Cooper Rush scrambles up the middle for 2 yards (tackle by Tim Settle),2.810,1.990
2,1:00,,,,,,Timeout #2 by Houston Texans,,
2,1:00,4,7,HOU 22,17,10,Brandon Aubrey 40 yard field goal no good,1.990,-0.940
2,0:56,1,10,HOU 30,17,10,C.J. Stroud pass incomplete short left intended for Nico Collins (defended by Trevon Diggs),0.940,0.390
