Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
3,13:43,2,2,TAM 41,23,0,Tommy DeVito pass complete short left to Malik Nabers for 13 yards. Malik Nabers fumbles ball out of bounds at TB-28. Malik Nabers fumbles out of bounds (forced by Jamel Dean) TAM challenged the illegal forward pass ruling and the play was upheld.,2.860,3.710
3,13:37,1,10,TAM 28,23,0,Tyrone Tracy right tackle for no gain (tackle by K.J. Britt and Anthony Nelson),3.710,3.170
3,12:59,2,10,TAM 28,23,0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 12 yards (tackle by Zyon McCollum and Antoine Winfield),3.170,4.510
3,12:19,1,10,TAM 16,23,0,Tommy DeVito pass incomplete short right intended for Malik Nabers,4.510,3.900
3,12:15,2,10,TAM 16,23,0,Tyrone Tracy right guard for 8 yards (tackle by Antoine Winfield and K.J. Britt),3.900,4.620
3,11:40,3,2,TAM 8,23,0,Tyrone Tracy left tackle for 3 yards (tackle by YaYa Diaby),4.620,6.060
3,11:06,1,5,TAM 5,23,0,Tyrone Tracy left end for no gain. Tyrone Tracy fumbles (tackle by K.J. Britt) recovered by Calijah Kancey at TB-5,6.060,0.380
3,10:55,1,10,TAM 5,23,0,Bucky Irving up the middle for 2 yards (tackle by Tyler Nubin and Rakeem Nunez-Roches),-0.380,-0.630
3,10:13,2,8,TAM 7,23,0,Baker Mayfield pass incomplete short right intended for Sterling Shepard,-0.630,-1.190
3,10:09,3,8,TAM 7,23,0,Baker Mayfield scrambles right tackle for 10 yards (tackle by Tyler Nubin),-1.190,-0.060
3,9:29,1,10,TAM 17,23,0,Bucky Irving right tackle for -1 yards (tackle by Brian Burns),-0.060,-0.730
3,8:47,2,11,TAM 16,23,0,Baker Mayfield pass complete short right to Sterling Shepard for 5 yards (tackle by Andru Phillips),-0.730,-0.750
3,8:04,3,6,TAM 21,23,0,Baker Mayfield pass complete short right to Cade Otton for no gain (tackle by Tyler Nubin). Penalty on Sterling Shepard: Illegal Motion 5 yards (accepted) (no play),-0.750,-1.410
3,7:30,3,11,TAM 16,23,0,Baker Mayfield pass complete short middle to Ryan Miller for 14 yards (tackle by Tyler Nubin),-1.410,0.940
3,6:49,1,10,TAM 30,23,0,Bucky Irving left end for 2 yards (tackle by Rakeem Nunez-Roches and Micah McFadden),0.940,0.660
3,6:04,2,8,TAM 32,23,0,Baker Mayfield pass complete deep left to Rakim Jarrett for 30 yards,0.660,3.050
3,5:24,1,10,NYG 38,23,0,Baker Mayfield pass complete short left to Mike Evans for 15 yards (tackle by Deonte Banks),3.050,4.040
3,4:43,1,10,NYG 23,23,0,Baker Mayfield pass complete short left to Sterling Shepard for no gain (tackle by D.J. Davidson),4.040,3.500
3,4:00,2,10,NYG 23,23,0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.500,2.810
3,3:54,3,10,NYG 23,23,0,Baker Mayfield pass incomplete deep right intended for Mike Evans. Penalty on Adoree' Jackson: Defensive Pass Interference 22 yards (accepted) (no play),2.810,6.970
3,3:49,1,1,NYG 1,29,0,Rachaad White right end for 1 yard touchdown,6.970,7.000
3,3:45,,,NYG 15,30,0,Chase McLaughlin kicks extra point good,0.000,0.000
3,3:45,,,TAM 35,30,0,Trenton Gill kicks off 66 yards returned by Ihmir Smith-Marsette for 33 yards (tackle by J.J. Russell and Josh Hayes),0.000,1.070
3,3:38,1,10,NYG 32,30,0,Tommy DeVito pass incomplete deep middle intended for Malik Nabers (defended by Antoine Winfield),1.070,0.530
