Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA
3,13:04,1,10,PHI 38,20,7,Matthew Stafford pass complete short right to Colby Parkinson for 10 yards (tackle by Darius Slay),3.050,3.710
3,12:45,1,10,PHI 28,20,7,Kyren Williams left tackle for -6 yards (tackle by Brandon Graham),3.710,2.360
3,11:54,2,16,PHI 34,20,7,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Brandon Graham),2.360,1.680
3,11:43,3,16,PHI 34,20,7,Matthew Stafford pass incomplete deep middle intended for Puka Nacua. Penalty on Isaiah Rodgers: Defensive Pass Interference 31 yards (accepted) (no play),1.680,6.510
3,11:37,1,3,PHI 3,20,7,Kyren Williams left guard for 1 yard (tackle by Nakobe Dean and Cooper DeJean),6.510,5.720
3,10:55,2,2,PHI 2,20,13,Matthew Stafford pass complete short right to Demarcus Robinson for 2 yards touchdown,5.720,7.000
3,10:51,,,PHI 15,20,14,Joshua Karty kicks extra point good,0.000,0.000
3,10:51,,,LAR 35,20,14,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,10:51,1,10,PHI 30,20,14,Jalen Hurts pass complete short middle to A.J. Brown for 12 yards (tackle by Darious Williams),0.940,1.730
3,10:15,1,10,PHI 42,20,14,Saquon Barkley right tackle for 8 yards (tackle by Omar Speights),1.730,2.270
3,9:42,2,2,PHI 50,20,14,Saquon Barkley right end for 1 yard (tackle by Kobie Turner),2.270,1.690
3,9:16,3,1,LAR 49,20,14,Jalen Hurts left guard for 5 yards (tackle by Kamren Curl and Tyler Davis),1.690,2.650
3,8:31,1,10,LAR 44,20,14,Jalen Hurts pass incomplete short right,2.650,2.110
3,8:22,2,10,LAR 44,20,14,Kenneth Gainwell left end for no gain (tackle by Christian Rozeboom and Omar Speights),2.110,1.420
3,7:37,3,10,LAR 44,20,14,Jalen Hurts scrambles left tackle for no gain (tackle by Quentin Lake). Penalty on Cobie Durant: Illegal Contact 5 yards (offset) . Penalty on Jordan Mailata: Offensive Holding 10 yards (offset) (no play),1.420,1.420
3,7:10,3,10,LAR 44,20,14,Jalen Hurts pass complete short right to Saquon Barkley for 31 yards (tackle by Jaylen McCollough and Kamren Curl),1.420,4.710
3,6:22,1,10,LAR 13,26,14,Kenneth Gainwell left guard for 13 yards touchdown,4.710,7.000
3,6:17,,,LAR 15,27,14,Jake Elliott kicks extra point good,0.000,0.000
3,6:17,,,PHI 35,27,14,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,6:17,1,10,LAR 30,27,14,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Isaiah Rodgers and Cooper DeJean),0.940,1.200
3,5:48,2,4,LAR 36,27,14,Blake Corum left guard for 5 yards (tackle by Reed Blankenship),1.200,1.660
3,5:06,1,10,LAR 41,27,14,Matthew Stafford pass incomplete short right intended for Davis Allen,1.660,1.120
3,5:02,2,10,LAR 41,27,14,Matthew Stafford pass complete deep middle to Cooper Kupp for 7 yards (tackle by Zack Baun),1.120,1.360
3,4:24,3,3,LAR 48,27,14,Matthew Stafford pass complete short right to Cooper Kupp for 2 yards. Cooper Kupp fumbles ball out of bounds at 50 (forced by C.J. Gardner-Johnson),1.360,-0.060
3,4:01,4,1,LAR 50,27,14,Matthew Stafford pass complete short left to Puka Nacua for 29 yards (tackle by Isaiah Rodgers),-0.060,4.170
3,3:46,1,10,PHI 21,27,14,Matthew Stafford pass complete short right to Puka Nacua for 9 yards (tackle by Isaiah Rodgers),4.170,5.160
3,3:05,2,1,PHI 12,27,14,Kyren Williams up the middle for -2 yards (tackle by C.J. Gardner-Johnson and Quinyon Mitchell),5.160,4.020
3,2:26,3,3,PHI 14,27,14,Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Zack Baun). Penalty on Beaux Limmer: Offensive Holding 10 yards (accepted) (no play),4.020,2.540
3,2:20,3,13,PHI 24,27,14,Matthew Stafford sacked by Milton Williams for -5 yards,2.540,1.500
3,1:38,4,18,PHI 29,27,14,Joshua Karty 47 yard field goal no good,1.500,-1.400
3,1:32,1,10,PHI 37,27,14,Saquon Barkley left end for 5 yards (tackle by Christian Rozeboom and Kamren Curl),1.400,1.530
3,0:54,2,5,PHI 42,27,14,Saquon Barkley left end for no gain (tackle by Jared Verse and Braden Fiske),1.530,0.830
3,0:12,3,5,PHI 42,27,14,Jalen Hurts pass complete short middle to A.J. Brown for 28 yards (tackle by Kamren Curl),0.830,3.580
4,15:00,1,10,LAR 30,27,14,Saquon Barkley right tackle for 2 yards (tackle by Byron Young and Tyler Davis),3.580,3.300
4,14:20,2,8,LAR 28,27,14,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Kamren Kinchens and Omar Speights),3.300,3.530
4,13:38,3,1,LAR 21,27,14,Saquon Barkley up the middle for 2 yards (tackle by Christian Rozeboom),3.530,4.310
