Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2,2:56,1,10,NWE 32,0,14,Tua Tagovailoa pass complete short right to Jonnu Smith for 14 yards (tackle by Anfernee Jennings and Jonathan Jones),3.450,4.370
2,2:17,1,10,NWE 18,0,14,Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by Jahlani Tavai),4.370,3.800
2,2:00,2,10,NWE 18,0,14,Tua Tagovailoa pass complete short left to Jonnu Smith for 7 yards (tackle by Christian Elliss),3.800,4.260
2,1:55,,,,,,Timeout #2 by New England Patriots,,
2,1:55,3,3,NWE 11,0,20,Tua Tagovailoa pass complete short right to De'Von Achane for 11 yards touchdown,4.260,7.000
2,1:50,,,NWE 15,0,21,Jason Sanders kicks extra point good,0.000,0.000
2,1:50,,,MIA 35,0,21,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,1:50,1,10,NWE 30,0,21,Drake Maye pass incomplete short left,0.940,0.390
2,1:46,2,10,NWE 30,0,21,Drake Maye sacked by Chop Robinson for no gain. Drake Maye fumbles (forced by Chop Robinson) recovered by Chop Robinson at NE-24 Replay Assistant challenged the fumble ruling and the original play was overturned. Drake Maye pass incomplete short middle intended for Demario Douglas (defended by Chop Robinson),0.390,-0.300
2,1:42,3,10,NWE 30,0,21,Penalty on Vederian Lowe: False Start 5 yards (accepted) (no play),-0.300,-0.960
2,1:42,3,15,NWE 25,0,21,Drake Maye sacked by and Chop Robinson for -5 yards and Emmanuel Ogbah for -5 yards,-0.960,-2.030
2,1:36,,,,,,Timeout #2 by Miami Dolphins,,
2,1:36,4,20,NWE 20,0,21,Bryce Baringer punts 39 yards out of bounds,-2.030,-1.660
2,1:28,1,10,MIA 41,0,21,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 29 yards (tackle by Marcus Jones),1.660,3.580
2,0:52,1,10,NWE 30,0,21,Tua Tagovailoa pass complete short right to Tyreek Hill for 7 yards (tackle by Keion White),3.580,3.980
2,0:30,2,3,NWE 23,0,21,Tua Tagovailoa pass complete deep right to Tyreek Hill for 20 yards,3.980,6.510
2,0:19,,,,,,Timeout #3 by Miami Dolphins,,
2,0:19,1,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Marcus Jones),6.510,5.530
2,0:14,,,,,,Timeout #3 by New England Patriots,,
2,0:14,2,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short middle intended for Jonnu Smith (defended by Marte Mapu),5.530,4.720
2,0:08,3,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle,4.720,3.040
2,0:05,4,3,NWE 3,0,24,Jason Sanders 21 yard field goal good,3.040,3.000
2,0:02,,,MIA 35,0,24,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,0:02,1,10,NWE 30,0,24,Drake Maye kneels for -1 yards,0.940,0.260
3,15:00,,,NWE 35,0,24,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIA 30,0,24,De'Von Achane right end for 2 yards (tackle by Jaylinn Hawkins and Anfernee Jennings),0.940,0.660
3,14:25,2,8,MIA 32,0,24,Tua Tagovailoa pass complete short left to De'Von Achane for 4 yards (tackle by Kyle Dugger and Jahlani Tavai),0.660,0.500
3,13:44,3,4,MIA 36,0,24,Tua Tagovailoa sacked by Christian Barmore for -2 yards,0.500,-1.110
3,13:09,4,6,MIA 34,0,24,Jake Bailey punts 52 yards returned by Marcus Jones for 11 yards (tackle by Durham Smythe),-1.110,-0.610
3,12:56,1,10,NWE 25,0,24,Drake Maye scrambles right end for 4 yards (tackle by Jordyn Brooks),0.610,0.600
3,12:28,2,6,NWE 29,0,24,Rhamondre Stevenson right guard for 2 yards (tackle by Jordyn Brooks and Emmanuel Ogbah). Penalty on Kader Kohou: Illegal Use of Hands / Defense 5 yards (accepted),0.600,1.330
3,12:09,1,10,NWE 36,0,24,Drake Maye pass complete short middle to Rhamondre Stevenson for no gain. Penalty on Michael Onwenu: Offensive Holding 10 yards (accepted) (no play),1.330,0.670
3,11:36,1,20,NWE 26,0,24,Rhamondre Stevenson left guard for 1 yard (tackle by Tyrel Dodson and Zach Sieler),0.670,-0.430
3,11:05,2,19,NWE 27,0,24,Drake Maye pass complete short right to Kendrick Bourne for 10 yards (tackle by Storm Duck),-0.430,0.230
3,10:33,3,9,NWE 37,0,24,Drake Maye pass complete short right to Kendrick Bourne for 10 yards (tackle by Jevon Holland),0.230,2.060
3,10:06,1,10,NWE 47,0,24,Drake Maye pass complete short right to Hunter Henry for 9 yards (tackle by Jordyn Brooks),2.060,2.730
3,9:43,2,1,MIA 44,0,24,Antonio Gibson right end for 3 yards (tackle by Jordan Poyer),2.730,2.850
3,9:15,1,10,MIA 41,0,24,Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Jevon Holland). Penalty on Kayshon Boutte: Offensive Pass Interference 10 yards (accepted) (no play),2.850,2.190
3,8:48,1,20,NWE 49,0,24,Drake Maye pass complete short right to Austin Hooper for 3 yards (tackle by Tyrel Dodson and Tyus Bowser),2.190,1.360
3,8:23,2,17,MIA 48,0,24,Drake Maye pass incomplete short left intended for Javon Baker,1.360,0.700
3,8:17,3,17,MIA 48,0,24,Kendrick Bourne pass incomplete short right intended for Rhamondre Stevenson,0.700,0.070
3,8:11,4,17,MIA 48,0,24,Bryce Baringer punts 41 yards fair catch by Malik Washington at MIA-7,0.070,0.380
3,8:04,1,10,MIA 7,0,24,Jaylen Wright left guard for no gain (tackle by Davon Godchaux and Yannick Ngakoue),-0.380,-0.780
3,7:23,2,10,MIA 7,0,24,Jaylen Wright left end for 12 yards (tackle by Kyle Dugger),-0.780,0.150
3,6:40,1,10,MIA 19,0,24,Tua Tagovailoa pass complete short middle to Tyreek Hill for 11 yards (tackle by Kyle Dugger),0.150,0.940
