Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
2,3:48,,,LVR 35,6,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,3:48,1,10,DEN 30,6,10,Bo Nix pass complete short right to Marvin Mims for 10 yards (tackle by Robert Spillane),0.940,1.600
2,3:08,1,10,DEN 40,6,10,Audric Estime up the middle for 9 yards (tackle by Divine Deablo and Decamerion Richardson),1.600,2.270
2,2:29,2,1,DEN 49,6,10,Audric Estime left guard for 2 yards (tackle by Thomas Harper and Robert Spillane),2.270,2.320
2,2:00,1,10,LVR 49,6,10,Bo Nix pass incomplete short left intended for Javonte Williams,2.320,1.780
2,1:54,2,10,LVR 49,6,10,Bo Nix pass incomplete deep left intended for Courtland Sutton. Penalty on Decamerion Richardson: Defensive Pass Interference 17 yards (accepted) (no play),1.780,3.450
2,1:50,1,10,LVR 32,6,10,Marvin Mims left end for -5 yards (tackle by Tyree Wilson),3.450,2.230
2,1:09,2,15,LVR 37,6,10,Bo Nix pass incomplete short middle intended for Adam Trautman,2.230,1.550
2,1:03,,,,,,Timeout #2 by Denver Broncos,,
2,1:03,3,15,LVR 37,6,10,Bo Nix pass complete short left to Javonte Williams for 1 yard (tackle by Robert Spillane),1.550,0.880
2,0:58,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:58,4,14,LVR 36,9,10,Wil Lutz 54 yard field goal good,0.880,3.000
2,0:53,,,DEN 35,9,10,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,0:53,1,10,LVR 30,9,10,Gardner Minshew pass complete short middle to Brock Bowers for 9 yards (tackle by Brandon Jones),0.940,1.610
2,0:43,2,1,LVR 39,9,10,Gardner Minshew pass incomplete deep right intended for Jakobi Meyers (defended by Patrick Surtain). Penalty on Nik Bonitto: Defensive Offside 6 yards (accepted) (no play),1.610,1.930
2,0:40,1,10,LVR 45,9,10,Gardner Minshew pass incomplete short right intended for Jakobi Meyers,1.930,1.380
2,0:34,2,10,LVR 45,9,10,Gardner Minshew pass complete deep right to Jakobi Meyers for 18 yards (tackle by P.J. Locke),1.380,3.120
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
