Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
2,3:17,1,10,SEA 50,3,0,Geno Smith sacked by Jesse Luketa for no gain,2.260,1.710
2,2:34,2,10,SEA 50,3,0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 46 yards (tackle by Garrett Williams),1.710,6.280
2,2:00,1,4,ARI 4,3,0,Zach Charbonnet left guard for 3 yards (tackle by Budda Baker and Dadrion Taylor-Demerson),6.280,5.910
2,1:28,2,1,ARI 1,3,0,Zach Charbonnet left guard for -2 yards (tackle by Krys Barnes and Budda Baker),5.910,4.720
2,1:17,,,,,,Timeout #2 by Arizona Cardinals,,
2,1:17,3,3,ARI 3,3,6,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards touchdown,4.720,7.000
2,1:14,,,ARI 15,3,7,Jason Myers kicks extra point good,0.000,0.000
2,1:14,,,SEA 35,3,7,Jason Myers kicks off 64 yards returned by Greg Dortch for 19 yards (tackle by Jake Bobo and Cody White),0.000,0.280
2,1:07,1,10,ARI 20,3,7,Kyler Murray sacked by and Leonard Williams for -8 yards and Jarran Reed for -8 yards,0.280,-1.360
2,1:00,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:00,2,18,ARI 12,3,7,Kyler Murray pass incomplete short right,-1.360,-2.360
2,0:56,3,18,ARI 12,3,7,Emari Demercado right end for 14 yards (tackle by Derick Hall and Rayshawn Jenkins),-2.360,-1.630
2,0:50,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:50,4,4,ARI 26,3,7,Blake Gillikin punts 49 yards downed by Joey Blount,-1.630,-0.610
2,0:39,1,10,SEA 25,3,7,Geno Smith pass incomplete short middle intended for AJ Barner (defended by Zaven Collins),0.610,0.060
2,0:36,2,10,SEA 25,3,7,Geno Smith pass complete short left to AJ Barner for 5 yards (tackle by Owen Pappoe),0.060,0.040
2,0:17,3,5,SEA 30,3,7,Geno Smith pass complete short middle to Kenneth Walker for 8 yards (tackle by Starling Thomas),0.040,1.470
2,0:09,1,10,SEA 38,3,7,Geno Smith pass incomplete deep right,1.470,0.920
2,0:02,2,10,SEA 38,3,7,Geno Smith kneels for -1 yards,0.920,0.100
3,15:00,,,ARI 35,3,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,SEA 30,3,7,Geno Smith pass complete short middle to Pharaoh Brown for 6 yards (tackle by Budda Baker),0.940,1.200
3,14:20,2,4,SEA 36,3,7,Kenneth Walker right end for 4 yards (tackle by Sean Murphy-Bunting),1.200,1.600
3,13:38,1,10,SEA 40,3,7,Geno Smith pass incomplete deep left intended for Tyler Lockett. Penalty on Starling Thomas: Defensive Pass Interference 20 yards (accepted) (no play),1.600,2.920
3,13:30,1,10,ARI 40,3,7,Kenneth Walker right guard for 5 yards (tackle by Baron Browning and Kyzir White),2.920,3.050
3,13:02,2,5,ARI 35,3,7,Geno Smith pass complete short left to Tyler Lockett for 3 yards (tackle by Budda Baker),3.050,2.740
3,12:17,3,2,ARI 32,3,7,Geno Smith sacked by Zaven Collins for -9 yards. Geno Smith fumbles (forced by Zaven Collins) recovered by Geno Smith at ARI-41,2.740,0.530
3,11:49,4,11,ARI 41,3,7,Michael Dickson punts 38 yards downed by Tre Brown. Penalty on Pharaoh Brown: Unsportsmanlike Conduct / Offense 15 yards (accepted),0.530,-0.040
3,11:29,1,10,ARI 18,3,7,Kyler Murray pass complete short right to Trey McBride for 13 yards (tackle by Riq Woolen),0.040,1.000
3,10:48,1,10,ARI 31,3,7,James Conner left end for 1 yard (tackle by Ernest Jones). Penalty on Tip Reiman: Offensive Holding 10 yards (accepted),1.000,0.410
3,10:32,1,19,ARI 22,3,7,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Tyrice Knight),0.410,0.730
3,9:58,2,8,ARI 33,3,7,Kyler Murray pass complete short left to Trey McBride for 18 yards (tackle by Coby Bryant),0.730,2.320
3,9:18,1,10,SEA 49,3,7,Trey Benson up the middle for 7 yards (tackle by Ernest Jones and Tyrice Knight),2.320,2.730
3,8:36,2,3,SEA 42,3,7,Trey Benson left end for no gain (tackle by Riq Woolen),2.730,2.020
3,8:00,3,3,SEA 42,3,7,James Conner up the middle for 2 yards (tackle by Jarran Reed and Byron Murphy),2.020,0.590
3,7:25,,,,,,Timeout #1 by Seattle Seahawks,,
3,7:25,4,1,SEA 40,3,13,Kyler Murray pass short right intended for Michael Wilson is intercepted by Coby Bryant at SEA-31 and returned for 69 yards touchdown,0.590,-7.000
3,7:12,,,ARI 15,3,13,Penalty on Devon Witherspoon: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),0.000,0.000
3,7:12,,,ARI 30,3,13,Jason Myers kicks extra point no good,0.000,-1.000
3,7:12,,,SEA 35,3,13,Jason Myers kicks off 62 yards returned by DeeJay Dallas for 35 yards (tackle by Dareke Young),0.000,1.470
3,7:03,1,10,ARI 38,3,13,Kyler Murray pass complete short right to Marvin Harrison for 14 yards (tackle by Tyrice Knight and Ernest Jones),1.470,2.390
3,6:34,1,10,SEA 48,3,13,James Conner left guard for -4 yards (tackle by Leonard Williams),2.390,1.310
3,5:57,2,14,ARI 48,3,13,Kyler Murray pass incomplete short right,1.310,0.630
3,5:48,3,14,ARI 48,3,13,Kyler Murray sacked by Leonard Williams for -11 yards,0.630,-0.910
3,5:04,4,25,ARI 37,3,13,Blake Gillikin punts 54 yards fair catch by Dee Williams at SEA-9,-0.910,0.380
3,4:58,1,10,SEA 9,3,13,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Naquan Jones),-0.380,-0.780
3,4:55,2,10,SEA 9,3,13,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Naquan Jones and Mack Wilson),-0.780,-0.950
3,4:11,3,6,SEA 13,3,13,Geno Smith pass complete short right to Tyler Lockett for 17 yards (tackle by Starling Thomas),-0.950,0.940
3,3:22,,,,,,Timeout #2 by Seattle Seahawks,,
3,3:22,1,10,SEA 30,3,13,Kenneth Walker right end for -1 yards (tackle by Jesse Luketa),0.940,0.260
3,2:44,2,11,SEA 29,3,13,Geno Smith pass complete short right to Kenneth Walker for 21 yards (tackle by Mack Wilson),0.260,2.260
3,2:15,1,10,SEA 50,3,13,Kenneth Walker right guard for 3 yards (tackle by L.J. Collier and Sean Murphy-Bunting),2.260,2.120
3,1:43,2,7,ARI 47,3,13,Zach Charbonnet left guard for 12 yards (tackle by Kyzir White),2.120,3.250
3,0:58,1,10,ARI 35,3,13,Geno Smith pass complete short left to Pharaoh Brown for 13 yards (tackle by Victor Dimukeje),3.250,4.110
3,0:09,1,10,ARI 22,3,13,Geno Smith pass incomplete short middle intended for Kenneth Walker (defended by Roy Lopez),4.110,3.560
3,0:04,2,10,ARI 22,3,13,Kenneth Walker left end for 4 yards (tackle by Kyzir White and Dadrion Taylor-Demerson),3.560,3.400
4,15:00,3,6,ARI 18,3,13,Geno Smith pass deep right intended for Tyler Lockett is intercepted by Garrett Williams in end zone and returned for no gain,3.400,-0.280
4,14:51,1,10,ARI 20,3,13,Kyler Murray pass complete short left to James Conner for 11 yards (tackle by Ernest Jones),0.280,1.000
4,14:17,1,10,ARI 31,3,13,Kyler Murray pass complete short right to Trey McBride for 3 yards (tackle by Julian Love),1.000,0.870
4,13:50,2,7,ARI 34,3,13,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Ernest Jones),0.870,1.800
4,13:18,1,10,ARI 43,3,13,Kyler Murray pass complete short left to James Conner for 11 yards (tackle by Ernest Jones),1.800,2.520
4,12:49,1,10,SEA 46,3,13,Trey Benson right end for 9 yards (tackle by Dre'Mont Jones and Byron Murphy),2.520,3.190
4,12:16,2,1,SEA 37,3,13,Kyler Murray sacked by Leonard Williams for -3 yards,3.190,2.080
4,11:32,3,4,SEA 40,3,13,Kyler Murray pass complete deep left to Michael Wilson for 30 yards (tackle by Riq Woolen),2.080,4.910
4,11:11,1,10,SEA 10,3,13,Kyler Murray pass incomplete short left,4.910,4.190
4,10:56,2,10,SEA 10,3,13,Kyler Murray scrambles right end for 6 yards (tackle by Ernest Jones),4.190,4.490
4,10:13,,,,,,Timeout #1 by Arizona Cardinals,,
4,10:13,3,4,SEA 4,3,13,Kyler Murray pass incomplete short right intended for Trey McBride,4.490,3.030
4,10:11,4,4,SEA 4,6,13,Chad Ryland 22 yard field goal good,3.030,3.000
4,10:08,,,ARI 35,6,13,Chad Ryland kicks off 66 yards returned by Kenny McIntosh for 20 yards (tackle by Jesse Luketa),0.000,0.150
4,10:03,1,10,SEA 19,6,13,Geno Smith pass incomplete short middle intended for Kenneth Walker,0.150,-0.390
