Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
2,2:33,1,10,WAS 16,0,3,Austin Ekeler right guard for 3 yards (tackle by Donovan Wilson),-0.140,-0.180
2,2:00,2,7,WAS 19,0,3,Jayden Daniels pass complete short right to Noah Brown for 11 yards (tackle by Juanyeh Thomas),-0.180,0.940
2,1:42,1,10,WAS 30,0,3,Jayden Daniels pass complete short left to Terry McLaurin for 6 yards (tackle by Josh Butler),0.940,1.200
2,1:20,2,4,WAS 36,0,3,Jayden Daniels pass complete short left to Olamide Zaccheaus for 8 yards (tackle by Josh Butler),1.200,1.860
2,1:14,1,10,WAS 44,0,3,Jayden Daniels scrambles right end for 2 yards (tackle by Israel Mukuamu),1.860,1.590
2,1:08,2,8,WAS 46,0,3,Jayden Daniels sacked by DeMarvion Overshown for -1 yards,1.590,0.760
2,1:01,3,9,WAS 45,0,3,Jayden Daniels sacked by Josh Butler for no gain,0.760,-0.390
2,0:56,4,9,WAS 45,0,3,Tress Way punts 41 yards downed by Percy Butler,-0.390,0.280
2,0:45,1,10,DAL 14,0,3,Cooper Rush pass complete short middle to Luke Schoonmaker for 9 yards (tackle by Bobby Wagner and Percy Butler),-0.280,0.550
2,0:24,2,1,DAL 23,0,3,Cooper Rush pass short right is intercepted by Noah Igbinoghene at DAL-33 and returned for no gain. Noah Igbinoghene fumbles (forced by CeeDee Lamb) recovered by Hunter Luepke at DAL-22 (tackle by Frankie Luvu). Penalty on Noah Igbinoghene: Defensive Pass Interference 8 yards (accepted) (no play),0.550,1.000
2,0:14,1,10,DAL 31,0,3,Cooper Rush pass complete deep right to Jalen Brooks for 41 yards (tackle by Benjamin St-Juste). Penalty on Benjamin St-Juste: Illegal Contact 5 yards (declined),1.000,3.710
2,0:07,1,10,WAS 28,3,3,Brandon Aubrey 46 yard field goal good,3.710,3.000
2,0:03,,,DAL 35,3,3,Brandon Aubrey kicks off 67 yards returned by Austin Ekeler for 33 yards (tackle by Marist Liufau),0.000,1.270
3,15:00,,,DAL 35,3,3,Brandon Aubrey kicks off 25 yards. Penalty on Brandon Aubrey: Kickoff Short of Landing Zone (accepted),0.000,1.600
3,15:00,1,10,WAS 40,3,3,Austin Ekeler left end for 3 yards (tackle by Jourdan Lewis and Malik Hooker),1.600,1.460
3,14:34,2,7,WAS 43,3,3,Jayden Daniels pass complete short middle to Terry McLaurin for 6 yards (tackle by DaRon Bland),1.460,1.550
3,14:09,3,1,WAS 49,3,3,Austin Ekeler left guard for 2 yards (tackle by DeMarvion Overshown and Chauncey Golston),1.550,2.320
3,13:33,1,10,DAL 49,3,3,Austin Ekeler right end for 7 yards (tackle by Malik Hooker). Penalty on Ben Sinnott: Offensive Holding 10 yards (accepted) (no play),2.320,1.660
3,13:17,1,20,WAS 41,3,3,Austin Ekeler left guard for 3 yards (tackle by Eric Kendricks),1.660,0.840
3,12:42,2,17,WAS 44,3,3,Jayden Daniels pass complete short middle to Noah Brown for 14 yards (tackle by Juanyeh Thomas and Josh Butler),0.840,2.020
3,12:01,3,3,DAL 42,3,3,Jayden Daniels left end for 5 yards (tackle by Eric Kendricks and Josh Butler),2.020,3.120
3,11:30,1,10,DAL 37,3,3,Jeremy McNichols right end for 13 yards (tackle by Malik Hooker),3.120,3.970
3,11:05,1,10,DAL 24,3,3,Jeremy McNichols right tackle for 3 yards (tackle by Micah Parsons and Eric Kendricks),3.970,3.840
3,10:35,2,7,DAL 21,3,3,Jayden Daniels right end for 4 yards (tackle by Micah Parsons),3.840,3.750
3,9:59,3,3,DAL 17,3,9,Jayden Daniels left end for 17 yards touchdown,3.750,7.000
3,9:53,,,DAL 15,3,9,Austin Seibert kicks extra point no good,0.000,-1.000
3,9:53,,,WAS 35,3,9,Austin Seibert kicks off 58 yards returned by KaVontae Turpin for 13 yards (tackle by Jordan Magee),0.000,0.280
3,9:50,1,10,DAL 20,3,9,Rico Dowdle left end for 9 yards (tackle by Clelin Ferrell and Quan Martin),0.280,0.950
3,9:09,2,1,DAL 29,3,9,Rico Dowdle up the middle for 2 yards (tackle by Jer'Zhan Newton and Daron Payne),0.950,1.000
3,8:30,1,10,DAL 31,3,9,Cooper Rush pass complete short right to Jalen Tolbert for 16 yards (tackle by Bobby Wagner),1.000,2.060
3,7:46,1,10,DAL 47,3,9,Cooper Rush pass complete short middle to Brevyn Spann-Ford for 18 yards (tackle by Jeremy Chinn),2.060,3.250
3,7:03,1,10,WAS 35,3,9,Cooper Rush pass complete short right to Rico Dowdle for 5 yards (tackle by Quan Martin),3.250,3.380
3,6:17,2,5,WAS 30,3,9,Rico Dowdle left tackle for 3 yards (tackle by Sheldon Day and Quan Martin),3.380,3.070
3,5:33,3,2,WAS 27,3,9,Cooper Rush pass incomplete deep right intended for Jalen Tolbert. Penalty on Noah Igbinoghene: Defensive Pass Interference 24 yards (accepted) (no play),3.070,6.510
3,5:25,1,3,WAS 3,3,9,Trey Lance right end for -3 yards (tackle by Jer'Zhan Newton),6.510,4.950
3,4:45,2,6,WAS 6,9,9,Cooper Rush pass complete short middle to Jalen Tolbert for 6 yards touchdown,4.950,7.000
3,4:40,,,WAS 15,10,9,Brandon Aubrey kicks extra point good,0.000,0.000
3,4:40,,,DAL 35,10,9,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,4:40,1,10,WAS 30,10,9,Austin Ekeler right guard for 3 yards (tackle by Micah Parsons and Eric Kendricks),0.940,0.800
3,4:07,2,7,WAS 33,10,9,Jayden Daniels pass incomplete deep left intended for Zach Ertz,0.800,0.100
3,4:01,3,7,WAS 33,10,9,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Chauncey Golston),0.100,-1.180
3,3:56,4,7,WAS 33,10,9,Tress Way punts 51 yards returned by KaVontae Turpin for -2 yards (tackle by Percy Butler),-1.180,0.280
3,3:48,1,10,DAL 14,10,9,Rico Dowdle left end for 7 yards (tackle by Javontae Jean-Baptiste and Bobby Wagner),-0.280,0.280
3,3:09,2,3,DAL 21,10,9,Rico Dowdle left tackle for 1 yard (tackle by Javontae Jean-Baptiste),0.280,-0.440
3,2:30,3,2,DAL 22,10,9,Cooper Rush pass complete short left to CeeDee Lamb for no gain (tackle by Michael Davis). Penalty on Tyler Guyton: Offensive Holding 10 yards (accepted) (no play),-0.440,-1.650
