Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
2,10:46,1,10,PIT 18,14,14,Joe Burrow pass incomplete deep right intended for Andrei Iosivas. Penalty on Joey Porter: Defensive Pass Interference 17 yards (accepted) (no play),4.370,6.970
2,10:41,1,1,PIT 1,14,14,Chase Brown right guard for -3 yards (tackle by Cameron Heyward),6.970,5.340
2,9:58,,,,,,Timeout #1 by Cincinnati Bengals,,
2,9:58,2,4,PIT 4,14,20,Joe Burrow pass complete short middle to Ja'Marr Chase for 4 yards touchdown,5.340,7.000
2,9:52,,,PIT 15,14,21,Evan McPherson kicks extra point good,0.000,0.000
2,9:52,,,CIN 35,14,21,Evan McPherson kicks off 54 yards returned by Cordarrelle Patterson for 21 yards (tackle by Vonn Bell),0.000,1.070
2,9:46,1,10,PIT 32,14,21,Russell Wilson pass complete short middle to Cordarrelle Patterson for 20 yards (tackle by Cam Taylor-Britt and Mike Hilton),1.070,2.390
2,9:08,1,10,CIN 48,14,21,Najee Harris left tackle for 8 yards (tackle by Jordan Battle and Cam Taylor-Britt). Penalty on Cam Taylor-Britt: Face Mask (15 Yards) 15 yards (accepted),2.390,3.910
2,8:41,1,10,CIN 25,14,21,Russell Wilson pass complete short middle to Najee Harris for 6 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),3.910,4.200
2,8:09,2,4,CIN 19,14,21,Penalty on Isaac Seumalo: False Start 6 yards (accepted) (no play),4.200,3.360
2,7:50,2,10,CIN 25,14,21,Najee Harris left guard for 5 yards (tackle by Akeem Davis-Gaither). Penalty on Mike Hilton: Unnecessary Roughness / Defense 10 yards (accepted),3.360,4.910
2,7:23,1,10,CIN 10,20,21,Najee Harris left end for 10 yards touchdown,4.910,7.000
2,7:19,,,CIN 15,21,21,Chris Boswell kicks extra point good,0.000,0.000
2,7:19,,,PIT 35,21,21,Chris Boswell kicks off 65 yards returned by Jermaine Burton for 38 yards (tackle by James Pierre),0.000,1.470
2,7:12,1,10,CIN 38,21,21,Chase Brown left tackle for 4 yards (tackle by DeShon Elliott),1.470,1.460
2,6:35,2,6,CIN 42,21,21,Joe Burrow pass complete short left to Andrei Iosivas for 15 yards (tackle by DeShon Elliott),1.460,2.720
2,6:10,1,10,PIT 43,21,21,Joe Burrow pass complete short right to Tanner Hudson for 6 yards (tackle by Patrick Queen),2.720,2.990
2,5:26,2,4,PIT 37,21,21,Chase Brown right guard for 4 yards (tackle by DeShon Elliott and Patrick Queen),2.990,3.380
2,4:45,1,10,PIT 33,21,21,Joe Burrow sacked by T.J. Watt for -2 yards. Joe Burrow fumbles (forced by T.J. Watt) recovered by Payton Wilson at PIT-35 and returned for 1 yard. Payton Wilson fumbles (forced by Drew Sample) recovered by Preston Smith at PIT-38 and returned for 1 yard (tackle by Alex Cappa),3.380,-1.530
2,4:36,1,10,PIT 39,21,21,Russell Wilson pass complete short right to Jaylen Warren for 29 yards (tackle by Geno Stone and Myles Murphy),1.530,3.450
2,3:51,1,10,CIN 32,21,21,Russell Wilson pass incomplete short right intended for MyCole Pruitt,3.450,2.900
2,3:46,2,10,CIN 32,21,21,Russell Wilson pass incomplete short right intended for George Pickens (defended by Josh Newton),2.900,2.210
2,3:41,3,10,CIN 32,21,21,Russell Wilson pass incomplete short left intended for Pat Freiermuth,2.210,1.240
2,3:36,4,10,CIN 32,24,21,Chris Boswell 50 yard field goal good,1.240,3.000
2,3:31,,,PIT 35,24,21,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,3:31,1,10,CIN 30,24,21,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by DeShon Elliott and Cameron Sutton),0.940,1.200
2,2:50,2,4,CIN 36,24,21,Chase Brown right tackle for 3 yards (tackle by Joey Porter),1.200,0.890
2,2:12,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,2:12,3,1,CIN 39,24,21,Joe Burrow pass incomplete short right,0.890,-0.780
