Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
2,1:06,4,11,LVR 45,3,10,AJ Cole punts 39 yards out of bounds. Penalty on Thomas Harper: Player Out of Bounds on a Punt 5 yards (accepted),-0.390,-0.340
2,1:00,1,10,KAN 21,3,10,Patrick Mahomes sacked by and K'Lavon Chaisson for -5 yards and Adam Butler for -5 yards,0.340,-1.010
2,0:23,2,15,KAN 16,3,10,Patrick Mahomes pass complete deep right to DeAndre Hopkins for 34 yards (tackle by Jack Jones),-1.010,2.260
2,0:18,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:18,1,10,KAN 50,3,10,Patrick Mahomes pass complete short right to Noah Gray for 9 yards (tackle by Robert Spillane),2.260,2.930
2,0:04,2,1,LVR 41,3,10,Patrick Mahomes spiked the ball,2.930,2.210
2,0:03,3,1,LVR 41,3,10,Matthew Wright 59 yard field goal no good returned by DJ Turner for no gain (tackle by Matt Araiza),2.210,2.130
3,15:00,,,KAN 35,3,10,Matthew Wright kicks off 62 yards returned by DJ Turner for 22 yards (tackle by Chamarri Conner),0.000,0.610
3,14:56,1,10,LVR 25,3,10,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers,0.610,0.060
3,14:51,2,10,LVR 25,3,10,Ameer Abdullah left end for 11 yards (tackle by Joshua Williams and Bryan Cook),0.060,1.330
3,14:07,1,10,LVR 36,3,10,Aidan O'Connell pass incomplete short left intended for Brock Bowers (defended by Justin Reid),1.330,0.790
3,14:01,2,10,LVR 36,3,10,Aidan O'Connell pass complete short left to DJ Turner for 25 yards (tackle by Nick Bolton),0.790,2.980
3,13:15,1,10,KAN 39,3,10,Ameer Abdullah up the middle for 4 yards (tackle by Nick Bolton),2.980,2.980
3,12:36,2,6,KAN 35,3,10,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Joshua Williams),2.980,2.280
3,12:30,3,6,KAN 35,3,10,Ameer Abdullah up the middle for 5 yards (tackle by Trent McDuffie),2.280,1.520
3,11:48,4,1,KAN 30,3,10,Ameer Abdullah up the middle for no gain (tackle by Nick Bolton and Charles Omenihu),1.520,-0.940
