Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
3,7:27,1,8,MIA 32,3,27,Tua Tagovailoa pass complete short left to Jonnu Smith for 13 yards. Jonnu Smith fumbles ball out of bounds at MIA-45 (forced by Isaiah McDuffie). Jonnu Smith fumbles out of bounds,1.230,1.930
3,6:32,1,10,MIA 45,3,27,Raheem Mostert left guard for 1 yard (tackle by Evan Williams),1.930,1.520
3,5:46,2,9,MIA 46,3,27,Tua Tagovailoa pass complete short middle to Malik Washington for 8 yards (tackle by Xavier McKinney),1.520,1.880
3,5:00,3,1,GNB 46,3,27,Raheem Mostert left guard for no gain (tackle by Kingsley Enagbare),1.880,0.200
3,4:16,4,1,GNB 46,3,27,Tua Tagovailoa pass complete short middle to Jonnu Smith for 16 yards (tackle by Xavier McKinney),0.200,3.580
3,3:32,1,10,GNB 30,3,27,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Evan Williams),3.580,4.650
3,2:48,1,10,GNB 14,9,27,Tua Tagovailoa pass complete short left to De'Von Achane for 14 yards touchdown,4.650,7.000
3,2:43,,,GNB 2,11,27,Two Point Attempt: Tua Tagovailoa pass complete to to Jaylen Waddle for no gain,1.000,1.000
3,2:43,,,MIA 35,11,27,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,2:43,1,10,GNB 30,11,27,Jordan Love pass complete short right to Dontayvion Wicks for 10 yards (tackle by Jevon Holland),0.940,1.600
3,2:15,1,10,GNB 40,11,27,Jordan Love pass incomplete short right intended for Christian Watson (defended by Jalen Ramsey),1.600,1.050
3,2:11,2,10,GNB 40,11,27,Jordan Love pass complete short middle to Dontayvion Wicks for 9 yards (tackle by Jevon Holland and Tyrel Dodson),1.050,1.550
3,1:23,3,1,GNB 49,11,27,Josh Jacobs right guard for -2 yards (tackle by Benito Jones and Zach Sieler),1.550,-0.260
3,0:46,4,3,GNB 47,11,27,Daniel Whelan punts 35 yards downed by Zayne Anderson,-0.260,-0.040
3,0:34,1,10,MIA 18,11,27,Tua Tagovailoa pass complete short left to Tyreek Hill for 13 yards (tackle by Evan Williams),0.040,1.000
3,0:09,1,10,MIA 31,11,27,Raheem Mostert left end for 3 yards (tackle by Carrington Valentine),1.000,0.870
4,15:00,2,7,MIA 34,11,27,Penalty on Devonte Wyatt: Encroachment 5 yards (accepted) (no play),0.870,1.540
4,15:00,2,2,MIA 39,11,27,Tua Tagovailoa pass complete short right to De'Von Achane for 3 yards (tackle by Javon Bullard),1.540,1.730
4,14:16,1,10,MIA 42,11,27,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 24 yards (tackle by Evan Williams and Carrington Valentine),1.730,3.310
4,13:31,1,10,GNB 34,11,27,De'Von Achane left guard for 1 yard (tackle by Quay Walker and Isaiah McDuffie),3.310,2.910
4,12:52,2,9,GNB 33,11,27,Tua Tagovailoa pass complete short left to De'Von Achane for 3 yards (tackle by Isaiah McDuffie),2.910,2.610
