Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
3,13:37,1,10,BUF 21,3,21,Jordan Mason right end for 3 yards (tackle by Damar Hamlin),4.170,4.040
3,12:58,2,7,BUF 18,3,21,Jordan Mason up the middle for 9 yards (tackle by Taylor Rapp),4.040,5.140
3,12:15,1,9,BUF 9,3,21,Penalty on Von Miller: Encroachment 5 yards (accepted) (no play),5.140,6.280
3,11:59,1,4,BUF 4,3,21,Kyle Juszczyk up the middle for -1 yards. Kyle Juszczyk fumbles (tackle by Matt Milano recovered by Christian Benford at BUF-5 and returned for 43 yards (tackle by George Kittle),6.280,-2.130
3,11:45,1,10,BUF 48,3,21,James Cook up the middle for 7 yards (tackle by Leonard Floyd),2.130,2.530
3,11:04,2,3,SFO 45,3,21,James Cook right guard for 1 yard (tackle by Maliek Collins),2.530,1.950
3,10:26,3,2,SFO 44,3,21,Josh Allen pass incomplete short left intended for Khalil Shakir,1.950,0.330
3,10:20,4,2,SFO 44,3,21,Sam Martin punts 38 yards downed by Jalen Virgil,0.330,0.380
3,10:10,1,10,SFO 6,3,21,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Christian Benford),-0.380,-0.780
3,10:03,2,10,SFO 6,3,21,Jordan Mason right guard for no gain (tackle by Quinton Jefferson and Christian Benford),-0.780,-1.420
3,9:23,3,10,SFO 6,3,21,Brock Purdy pass incomplete short right intended for George Kittle,-1.420,-2.490
3,9:15,4,10,SFO 6,3,21,Pat O'Donnell punts 46 yards returned by Brandon Codrington for 8 yards (tackle by Chris Conley),-2.490,-2.650
3,9:03,1,10,SFO 44,3,21,Ray Davis up the middle for 11 yards (tackle by Fred Warner and Malik Mustapha),2.650,3.380
3,8:22,1,10,SFO 33,3,21,Ray Davis right guard for 1 yard (tackle by Khalil Davis and Malik Mustapha),3.380,2.970
3,7:37,2,9,SFO 32,3,21,Curtis Samuel left end for 7 yards (tackle by Ji'Ayir Brown),2.970,3.200
3,6:56,3,2,SFO 25,3,21,Josh Allen pass incomplete deep left intended for Khalil Shakir (defended by Malik Mustapha),3.200,1.930
3,6:50,,,,,,Timeout #1 by Buffalo Bills,,
3,6:50,4,2,SFO 25,3,21,Josh Allen pass complete short left to Khalil Shakir for 18 yards (tackle by Dee Winters),1.930,5.600
3,6:05,1,7,SFO 7,3,27,Josh Allen pass complete short left to Amari Cooper for -2 yards lateral to Josh Allen for 9 yards touchdown,5.600,7.000
3,5:58,,,SFO 15,3,28,Tyler Bass kicks extra point good,0.000,0.000
3,5:58,,,BUF 35,3,28,Tyler Bass kicks off 56 yards returned by Deebo Samuel for 43 yards (tackle by Tyler Bass),0.000,2.390
3,5:50,1,10,BUF 48,3,28,Jordan Mason up the middle for no gain (tackle by Terrel Bernard),2.390,1.850
3,5:09,2,10,BUF 48,3,28,Brock Purdy pass incomplete deep right intended for Ricky Pearsall,1.850,1.160
3,4:59,3,10,BUF 48,3,28,Brock Purdy pass complete short left to Deebo Samuel for 5 yards (tackle by Cameron Lewis and Terrel Bernard),1.160,0.400
3,4:22,4,5,BUF 43,3,28,Brock Purdy pass complete short right to Jauan Jennings for 26 yards (tackle by Taron Johnson and Terrel Bernard),0.400,4.440
3,3:41,1,10,BUF 17,3,28,Jordan Mason up the middle for 2 yards (tackle by Matt Milano),4.440,4.150
3,3:00,2,8,BUF 15,9,28,Isaac Guerendo left end for 15 yards touchdown,4.150,7.000
3,2:54,,,BUF 15,10,28,Jake Moody kicks extra point good,0.000,0.000
3,2:54,,,SFO 35,10,28,Jake Moody kicks off 60 yards returned by Ray Davis for 22 yards (tackle by George Odum),0.000,0.740
3,2:48,1,10,BUF 27,10,28,James Cook right tackle for -1 yards (tackle by Charvarius Ward and Nick McCloud),0.740,0.060
3,2:08,2,11,BUF 26,10,28,Josh Allen pass complete short left to Amari Cooper for 5 yards (tackle by Renardo Green),0.060,0.040
3,1:25,3,6,BUF 31,10,28,Josh Allen pass complete short left to Khalil Shakir for 4 yards (tackle by Renardo Green),0.040,-1.040
3,0:41,4,2,BUF 35,10,28,Sam Martin punts 54 yards returned by Jacob Cowing for 12 yards (tackle by Cameron Lewis),-1.040,-0.480
3,0:29,1,10,SFO 23,10,28,Brock Purdy pass incomplete deep middle intended for Jauan Jennings,0.480,-0.070
3,0:24,2,10,SFO 23,10,28,Isaac Guerendo left guard for 5 yards (tackle by DaQuan Jones and Terrel Bernard),-0.070,-0.100
4,15:00,3,5,SFO 28,10,28,Brock Purdy sacked by. Brock Purdy fumbles recovered by Gregory Rousseau at SF-25,-0.100,-3.910
4,14:53,1,10,SFO 25,10,28,James Cook up the middle for 1 yard (tackle by Ji'Ayir Brown and Evan Anderson),3.910,3.500
