Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
2,0:31,2,5,MIN 34,6,6,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Josh Metellus),3.120,3.780
2,0:27,1,10,MIN 27,6,6,Penalty on Jihad Ward: Neutral Zone Infraction 5 yards (accepted) (no play),3.780,4.510
2,0:27,1,5,MIN 22,6,6,Kyler Murray pass incomplete deep right intended for Marvin Harrison,4.510,3.910
2,0:23,2,5,MIN 22,6,6,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Josh Metellus),3.910,4.440
2,0:17,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:17,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:17,1,10,MIN 17,6,6,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Byron Murphy),4.440,5.830
2,0:03,1,6,MIN 6,6,6,Kyler Murray spiked the ball,5.830,4.950
2,0:02,2,6,MIN 6,9,6,Chad Ryland 24 yard field goal good,4.950,3.000
3,15:00,,,ARI 35,9,6,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,9,6,Sam Darnold pass incomplete deep right intended for Justin Jefferson. Penalty on Sean Murphy-Bunting: Defensive Pass Interference 28 yards (accepted) (no play),0.940,2.790
3,14:55,1,10,ARI 42,9,6,Aaron Jones right guard for 5 yards (tackle by Budda Baker and Roy Lopez),2.790,2.920
3,14:34,2,5,ARI 37,9,6,Sam Darnold pass complete short left to T.J. Hockenson for 12 yards (tackle by Mack Wilson),2.920,3.910
3,13:51,1,10,ARI 25,9,6,Sam Darnold pass incomplete short right intended for T.J. Hockenson,3.910,3.360
3,13:41,2,10,ARI 25,9,6,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Naquan Jones),3.360,2.680
3,13:36,3,10,ARI 25,9,6,Sam Darnold pass incomplete deep middle intended for Jalen Nailor,2.680,1.800
3,13:31,4,10,ARI 25,9,6,John Parker Romo 43 yard field goal no good,1.800,-1.140
3,13:28,1,10,ARI 33,9,6,James Conner left guard for -2 yards (tackle by Andrew Van Ginkel and Jalen Redmond),1.140,0.320
3,12:52,2,12,ARI 31,9,6,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Byron Murphy). Penalty on Tip Reiman: Offensive Holding 10 yards (declined),0.320,-0.360
3,12:44,3,12,ARI 31,9,6,Kyler Murray pass incomplete short middle intended for Greg Dortch. Penalty on Fabian Moreau: Defensive Pass Interference 13 yards (accepted) (no play),-0.360,1.860
3,12:39,1,10,ARI 44,9,6,Kyler Murray pass complete short right to Marvin Harrison for 9 yards (tackle by Shaquill Griffin),1.860,2.530
3,11:59,2,1,MIN 47,9,6,James Conner left guard for 4 yards (tackle by Harrison Phillips),2.530,2.720
3,11:24,1,10,MIN 43,9,6,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Camryn Bynum),2.720,3.120
3,10:49,2,3,MIN 36,9,6,James Conner left tackle for 9 yards (tackle by Josh Metellus),3.120,3.780
3,10:07,1,10,MIN 27,9,6,James Conner up the middle for 4 yards (tackle by Jalen Redmond and Harrison Phillips),3.780,3.770
3,9:25,2,6,MIN 23,9,6,Kyler Murray pass incomplete short right intended for Marvin Harrison,3.770,3.070
3,9:20,3,6,MIN 23,9,6,Emari Demercado left end for 1 yard (tackle by Blake Cashman and Patrick Jones),3.070,2.040
3,8:38,4,5,MIN 22,12,6,Chad Ryland 40 yard field goal good,2.040,3.000
3,8:33,,,ARI 35,12,6,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,8:33,1,10,MIN 30,12,6,Aaron Jones left end for 1 yard (tackle by Kyzir White),0.940,0.530
3,7:57,2,9,MIN 31,12,6,Sam Darnold sacked by Mack Wilson for -6 yards,0.530,-0.960
3,7:14,3,15,MIN 25,12,6,Sam Darnold pass incomplete short left intended for Justin Jefferson,-0.960,-1.700
3,7:08,4,15,MIN 25,12,6,Ryan Wright punts 51 yards returned by Greg Dortch for 3 yards (tackle by Bo Richter),-1.700,-0.740
3,6:59,1,10,ARI 27,12,6,Kyler Murray scrambles right end for 3 yards (tackle by Josh Metellus),0.740,0.600
