Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
2,0:13,,,CLE 35,17,21,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,0:13,1,10,DEN 30,17,21,Bo Nix kneels for -1 yards,0.940,0.260
3,15:00,,,DEN 35,17,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,17,21,Jameis Winston pass complete short right to Elijah Moore for 12 yards (tackle by Levi Wallace). Penalty on Levi Wallace: Illegal Contact 5 yards (declined),0.940,1.730
3,14:44,1,10,CLE 42,17,21,Elijah Moore left end for 1 yard (tackle by Patrick Surtain),1.730,1.320
3,14:24,2,9,CLE 43,17,21,Jameis Winston pass complete short right to Elijah Moore for 6 yards (tackle by Levi Wallace),1.320,1.420
3,13:48,3,3,CLE 49,17,21,Jameis Winston pass incomplete short left intended for David Njoku,1.420,-0.130
3,13:44,4,3,CLE 49,17,21,Corey Bojorquez punts 39 yards fair catch by Marvin Mims at DEN-12,-0.130,0.350
3,13:37,1,10,DEN 12,17,21,Bo Nix pass incomplete deep left intended for Courtland Sutton. Penalty on Denzel Ward: Defensive Pass Interference 19 yards (accepted) (no play),-0.350,1.000
3,13:33,1,10,DEN 31,17,21,Jaleel McLaughlin up the middle for 9 yards (tackle by Grant Delpit and Jordan Hicks),1.000,1.680
3,12:46,2,1,DEN 40,17,21,Jaleel McLaughlin right guard for -1 yards (tackle by Shelby Harris),1.680,0.830
3,12:11,3,2,DEN 39,17,21,Bo Nix pass incomplete short middle intended for Devaughn Vele (defended by Greg Newsome),0.830,-0.780
3,12:08,4,2,DEN 39,17,21,Riley Dixon punts 37 yards downed by Devon Key,-0.780,-0.540
3,11:59,1,10,CLE 24,17,21,Nick Chubb up the middle for 7 yards (tackle by Malcolm Roach),0.540,0.940
3,11:21,2,3,CLE 31,17,21,Jameis Winston pass incomplete short left intended for Elijah Moore,0.940,0.230
3,11:17,3,3,CLE 31,17,21,Penalty on Jameis Winston: Delay of Game 5 yards (accepted) (no play),0.230,-0.430
3,11:17,3,8,CLE 26,17,21,Jameis Winston pass complete short right to Jamari Thrash for 3 yards (tackle by Cody Barton),-0.430,-1.440
3,10:44,4,5,CLE 29,17,21,Corey Bojorquez punts 63 yards downed by Mike Ford,-1.440,0.380
3,10:34,1,10,DEN 8,17,21,Bo Nix pass incomplete deep middle intended for Courtland Sutton,-0.380,-0.780
3,10:27,2,10,DEN 8,17,21,Bo Nix pass complete short middle to Troy Franklin for 5 yards (tackle by Jordan Hicks and Mohamoud Diabate). Penalty on Luke Wattenberg: Unnecessary Roughness / Offense 6 yards (accepted),-0.780,-1.540
3,10:12,3,11,DEN 7,17,27,Bo Nix pass complete deep middle to Marvin Mims for 93 yards touchdown,-1.540,7.000
3,10:01,,,CLE 15,17,28,Wil Lutz kicks extra point good,0.000,0.000
3,10:01,,,DEN 35,17,28,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,10:01,1,10,CLE 30,23,28,Jameis Winston pass complete deep middle to Jerry Jeudy for 70 yards touchdown,0.940,7.000
3,9:50,,,DEN 2,25,28,Two Point Attempt: Jameis Winston pass complete to to Jerry Jeudy for no gain,1.000,1.000
3,9:50,,,CLE 35,25,28,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
3,9:50,1,10,DEN 30,25,28,Jaleel McLaughlin left end for no gain (tackle by Ronnie Hickman). Penalty on Garett Bolles: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
3,9:32,1,20,DEN 20,25,28,Bo Nix pass incomplete short left intended for Courtland Sutton. Penalty on Garett Bolles: Illegal Formation 5 yards (offset) . Penalty on Denzel Ward: Defensive Pass Interference 15 yards (offset) (no play),0.280,0.280
3,9:27,1,20,DEN 20,25,28,Bo Nix pass incomplete deep right intended for Troy Franklin,0.280,-0.960
3,9:21,2,20,DEN 20,25,28,Bo Nix pass complete short left to Javonte Williams for 3 yards (tackle by Denzel Ward),-0.960,-1.220
3,8:52,3,17,DEN 23,25,28,Bo Nix pass complete short middle to Lucas Krull for 7 yards (tackle by Jordan Hicks),-1.220,-1.370
3,8:22,4,10,DEN 30,25,28,Riley Dixon punts 41 yards returned by Jaelon Darden for no gain (tackle by Jonah Elliss),-1.370,-0.870
3,8:13,1,10,CLE 29,25,28,Jameis Winston pass complete short left to Nick Chubb for 19 yards (tackle by Ja'Quan McMillian),0.870,2.130
3,7:29,1,10,CLE 48,25,28,Jameis Winston pass incomplete short left intended for Kadarius Toney,2.130,1.580
3,7:25,2,10,CLE 48,25,28,Jerome Ford left end for no gain (tackle by P.J. Locke),1.580,0.890
3,6:41,3,10,CLE 48,25,28,Jameis Winston pass complete short right to David Njoku for no gain (tackle by Justin Strnad),0.890,-0.190
3,6:07,4,10,CLE 48,25,28,Corey Bojorquez punts 48 yards downed by Winston Reid,-0.190,0.380
3,5:58,1,10,DEN 4,25,28,Bo Nix pass incomplete short right,-0.380,-0.780
3,5:55,2,10,DEN 4,25,28,Bo Nix pass complete deep right to Courtland Sutton for 32 yards (tackle by Grant Delpit),-0.780,1.330
3,5:15,1,10,DEN 36,25,28,Audric Estime right tackle for 8 yards (tackle by Jordan Hicks),1.330,1.870
3,4:39,2,2,DEN 44,25,28,Jaleel McLaughlin left end for 18 yards (tackle by Grant Delpit),1.870,3.050
3,3:52,1,10,CLE 38,25,28,Bo Nix pass incomplete short left intended for Jaleel McLaughlin,3.050,2.510
3,3:49,2,10,CLE 38,25,28,Jaleel McLaughlin left tackle for 17 yards (tackle by Devin Bush and Cameron Mitchell),2.510,4.170
3,3:06,1,10,CLE 21,25,28,Jaleel McLaughlin right guard for 7 yards (tackle by Grant Delpit),4.170,4.740
3,2:26,2,3,CLE 14,25,28,Jaleel McLaughlin right end for 1 yard (tackle by Devin Bush),4.740,4.240
3,2:02,,,,,,Timeout #1 by Denver Broncos,,
3,2:02,3,2,CLE 13,25,28,Bo Nix pass incomplete short right intended for Devaughn Vele,4.240,2.690
3,1:55,4,2,CLE 13,25,28,Penalty on Bo Nix: Delay of Game 5 yards (accepted) (no play),2.690,2.250
3,1:55,4,7,CLE 18,25,31,Wil Lutz 36 yard field goal good,2.250,3.000
3,1:52,,,DEN 35,25,31,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,1:52,1,10,CLE 30,25,31,Jerome Ford right guard for 2 yards (tackle by D.J. Jones),0.940,0.660
3,1:17,2,8,CLE 32,25,31,Jameis Winston pass complete short middle to David Njoku for 7 yards (tackle by Cody Barton),0.660,0.890
3,0:41,3,1,CLE 39,25,31,Jerome Ford left end for no gain (tackle by Ja'Quan McMillian),0.890,-0.780
3,0:03,4,1,CLE 39,25,31,Jameis Winston right guard for 1 yard (tackle by Cody Barton and Dondrea Tillman),-0.780,1.600
4,15:00,1,10,CLE 40,25,31,Nick Chubb left guard for 1 yard (tackle by Zach Allen and John Franklin-Myers),1.600,1.190
4,14:21,2,9,CLE 41,25,31,Jameis Winston sacked by Nik Bonitto for -14 yards,1.190,-1.350
4,13:22,3,23,CLE 27,25,31,Jameis Winston pass complete short middle to David Njoku for 13 yards (tackle by Devon Key),-1.350,-0.720
4,12:47,4,10,CLE 40,25,31,Corey Bojorquez punts 60 yards touchback.,-0.720,-0.280
4,12:40,1,10,DEN 20,25,31,Bo Nix pass deep middle intended for Marvin Mims is intercepted by Denzel Ward at CLE-28 and returned for no gain (tackle by Marvin Mims),0.280,-0.810
4,12:31,1,10,CLE 28,25,31,Jameis Winston pass complete short left to Jerry Jeudy for 35 yards (tackle by Devon Key and Levi Wallace),0.810,3.120
4,11:56,1,10,DEN 37,25,31,Jameis Winston pass incomplete short right intended for Elijah Moore (defended by D.J. Jones),3.120,2.570
4,11:52,2,10,DEN 37,25,31,Nick Chubb right tackle for 2 yards (tackle by Cody Barton and John Franklin-Myers),2.570,2.150
4,11:11,3,8,DEN 35,25,31,Jameis Winston pass complete short middle to Michael Woods for 14 yards (tackle by Devon Key),2.150,4.170
4,10:31,1,10,DEN 21,25,31,Jameis Winston pass incomplete short middle intended for David Njoku (defended by Nik Bonitto),4.170,3.630
4,10:27,2,10,DEN 21,25,31,Jameis Winston pass incomplete short left intended for Jerry Jeudy (defended by Patrick Surtain),3.630,2.940
4,10:24,3,10,DEN 21,25,31,Penalty on Jameis Winston: Delay of Game 5 yards (accepted) (no play),2.940,2.280
4,10:24,3,15,DEN 26,25,31,Jameis Winston pass complete short left to Jerry Jeudy for 17 yards (tackle by Patrick Surtain),2.280,5.140
4,9:42,1,9,DEN 9,25,31,Jameis Winston left tackle for 4 yards (tackle by Zach Allen),5.140,5.150
4,9:00,2,5,DEN 5,31,31,Jameis Winston pass complete short left to Nick Chubb for 5 yards touchdown,5.150,7.000
4,8:57,,,DEN 15,32,31,Dustin Hopkins kicks extra point good,0.000,0.000
4,8:57,,,CLE 35,32,31,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
4,8:57,1,10,DEN 30,32,31,Jaleel McLaughlin right end for 3 yards (tackle by Myles Garrett),0.940,0.800
4,8:18,2,7,DEN 33,32,31,Bo Nix pass complete deep left to Courtland Sutton for 19 yards (tackle by Jordan Hicks and Denzel Ward),0.800,2.390
4,7:33,1,10,CLE 48,32,31,Jaleel McLaughlin left tackle for 2 yards (tackle by Greg Newsome and Isaiah McGuire),2.390,2.120
4,7:01,2,8,CLE 46,32,31,Bo Nix pass complete short left to Lucas Krull for 12 yards (tackle by Martin Emerson),2.120,3.310
4,6:20,1,10,CLE 34,32,31,Jaleel McLaughlin left guard for 8 yards (tackle by Mohamoud Diabate and Jordan Hicks),3.310,3.850
4,5:36,2,2,CLE 26,32,31,Bo Nix pass incomplete short left intended for Devaughn Vele,3.850,3.140
4,5:34,3,2,CLE 26,32,31,Bo Nix pass complete short left to Courtland Sutton for 8 yards (tackle by Martin Emerson),3.140,4.370
4,4:59,1,10,CLE 18,32,31,Audric Estime up the middle for -2 yards (tackle by Maurice Hurst and Devin Bush),4.370,3.560
4,4:22,2,12,CLE 20,32,31,Bo Nix scrambles left tackle for 6 yards (tackle by Jordan Hicks),3.560,3.630
4,3:38,3,6,CLE 14,32,31,Bo Nix pass complete short right to Marvin Mims for 5 yards (tackle by Dalvin Tomlinson),3.630,2.980
4,2:57,,,,,,Timeout #2 by Denver Broncos,,
4,2:57,4,1,CLE 9,32,34,Wil Lutz 27 yard field goal good,2.980,3.000
4,2:54,,,DEN 35,32,34,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,2:54,1,10,CLE 30,32,34,Jameis Winston sacked by Jonathon Cooper for -8 yards,0.940,-0.690
4,2:11,2,18,CLE 22,32,34,Jameis Winston scrambles left end for 6 yards (tackle by Justin Strnad),-0.690,-0.560
4,2:04,3,12,CLE 28,32,34,Jameis Winston pass complete short right to Elijah Moore for 14 yards,-0.560,1.730
4,1:59,1,10,CLE 42,32,40,Jameis Winston pass short left intended for Elijah Moore is intercepted by Ja'Quan McMillian at CLE-44 and returned for 44 yards touchdown,1.730,-7.000
4,1:48,,,CLE 15,32,41,Wil Lutz kicks extra point good,0.000,0.000
4,1:48,,,DEN 35,32,41,Wil Lutz kicks off 61 yards returned by Jerome Ford for 21 yards (tackle by Damarri Mathis and Kris Abrams-Draine),0.000,0.610
4,1:44,1,10,CLE 25,32,41,Jameis Winston pass complete short right to David Njoku for no gain (tackle by Ja'Quan McMillian),0.610,0.060
4,1:21,2,10,CLE 25,32,41,Jameis Winston pass incomplete deep left intended for Michael Woods,0.060,-0.620
4,1:15,3,10,CLE 25,32,41,Jameis Winston pass incomplete short left intended for David Njoku,-0.620,-1.700
4,1:08,4,10,CLE 25,32,41,Jameis Winston pass complete short right to Jerry Jeudy for 16 yards (tackle by Cody Barton),-1.700,1.660
4,1:04,,,,,,Timeout #1 by Cleveland Browns,,
4,1:04,1,10,CLE 41,32,41,Jameis Winston pass incomplete short left intended for Elijah Moore (defended by Ja'Quan McMillian),1.660,1.120
4,0:59,2,10,CLE 41,32,41,Jameis Winston pass complete short middle to Jerome Ford for 21 yards (tackle by P.J. Locke),1.120,3.050
4,0:50,1,10,DEN 38,32,41,Jameis Winston pass incomplete deep left intended for Michael Woods. Penalty on Kris Abrams-Draine: Defensive Pass Interference 36 yards (accepted) (no play),3.050,6.740
4,0:44,1,2,DEN 2,32,41,Jameis Winston pass short left intended for David Njoku is intercepted by Cody Barton in end zone and returned for 56 yards (tackle by Nick Chubb),6.740,-2.460
4,0:34,1,10,CLE 47,32,41,Bo Nix kneels for -1 yards,2.460,1.780
