Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
3,7:41,2,6,BAL 22,14,12,Lamar Jackson scrambles right end for 8 yards (tackle by Isaiah Rodgers),0.140,0.940
3,7:00,1,10,BAL 30,14,12,Derrick Henry left guard for 3 yards (tackle by Zack Baun),0.940,0.800
3,6:24,2,7,BAL 33,14,12,Lamar Jackson pass complete short right to Justice Hill for 2 yards (tackle by Isaiah Rodgers),0.800,0.370
3,5:44,3,5,BAL 35,14,12,Lamar Jackson scrambles right end for 4 yards (tackle by Isaiah Rodgers),0.370,-0.780
3,5:07,4,1,BAL 39,14,12,Mark Andrews up the middle for 2 yards (tackle by Nolan Smith and Jalen Carter),-0.780,1.660
3,4:28,1,10,BAL 41,14,12,Lamar Jackson pass complete short left to Derrick Henry for 10 yards (tackle by Oren Burks),1.660,2.320
3,3:52,1,10,PHI 49,14,12,Derrick Henry left guard for 5 yards (tackle by Nolan Smith),2.320,2.460
3,3:25,2,5,PHI 44,14,12,Justice Hill left guard for 3 yards (tackle by Jordan Davis),2.460,2.150
3,3:05,3,2,PHI 41,14,12,Lamar Jackson up the middle for 2 yards. Lamar Jackson fumbles (forced by Zack Baun) recovered by Ronnie Stanley at PHI-38,2.150,3.050
3,2:22,1,10,PHI 38,14,12,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Cooper DeJean),3.050,2.510
3,2:16,2,10,PHI 38,14,12,Lamar Jackson right guard for 3 yards (tackle by Moro Ojomo and Josh Sweat),2.510,2.210
3,1:35,3,7,PHI 35,14,12,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Avonte Maddox),2.210,0.970
3,1:26,4,7,PHI 35,14,12,Justin Tucker 53 yard field goal no good,0.970,-1.800
3,1:21,1,10,PHI 43,14,12,Jalen Hurts right end for -1 yards (tackle by Ar'Darius Washington),1.800,1.120
3,0:50,2,11,PHI 42,14,12,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Roquan Smith),1.120,1.090
3,0:05,3,6,PHI 47,14,12,Jalen Hurts pass incomplete short left intended for Saquon Barkley (defended by Brandon Stephens),1.090,-0.260
3,0:01,4,6,PHI 47,14,12,Braden Mann punts 48 yards downed by Kelee Ringo,-0.260,0.380
4,15:00,1,10,BAL 5,14,12,Derrick Henry up the middle for 3 yards (tackle by Nolan Smith and Zack Baun),-0.380,-0.560
4,14:25,2,7,BAL 8,14,12,Derrick Henry right tackle for 5 yards (tackle by Nolan Smith and Nakobe Dean),-0.560,-0.480
4,13:44,3,2,BAL 13,14,12,Derrick Henry right end for 5 yards (tackle by Tristin McCollum and Nolan Smith). Penalty on Cooper DeJean: Defensive Holding 5 yards (accepted),-0.480,0.480
4,13:25,1,10,BAL 23,14,12,Lamar Jackson pass complete deep right to Mark Andrews for 16 yards,0.480,1.530
4,12:42,1,10,BAL 39,14,12,Lamar Jackson pass incomplete deep right intended for Zay Flowers,1.530,0.990
4,12:37,2,10,BAL 39,14,12,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,0.990,0.300
4,12:30,3,10,BAL 39,14,12,Lamar Jackson pass complete short middle to Justice Hill for 5 yards (tackle by Nakobe Dean),0.300,-0.460
4,11:39,4,5,BAL 44,14,12,Penalty on Jalyn Armour-Davis: False Start 5 yards (accepted) (no play),-0.460,-0.780
4,11:29,4,10,BAL 39,14,12,Jordan Stout punts 42 yards returned by Britain Covey for 10 yards (tackle by Chris Board),-0.780,-0.870
4,11:20,1,10,PHI 29,14,12,Saquon Barkley left guard for 4 yards (tackle by Roquan Smith and Trenton Simpson),0.870,0.870
4,10:57,2,6,PHI 33,14,12,Jalen Hurts pass complete short middle to Saquon Barkley for no gain (tackle by Kyle Hamilton). Penalty on Trenton Simpson: Defensive Holding 5 yards (accepted) (no play),0.870,1.470
4,10:42,1,10,PHI 38,14,12,Saquon Barkley right tackle for 3 yards (tackle by Broderick Washington),1.470,1.330
4,9:59,2,7,PHI 41,14,12,Jalen Hurts pass incomplete short right,1.330,0.630
4,9:52,3,7,PHI 41,14,12,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Brandon Stephens),0.630,2.260
4,9:21,1,10,PHI 50,14,12,Saquon Barkley left tackle for 14 yards (tackle by Kyle Hamilton),2.260,3.180
4,8:41,1,10,BAL 36,14,12,Jalen Hurts right guard for 11 yards (tackle by Kyle Hamilton),3.180,3.910
4,8:04,1,10,BAL 25,20,12,Saquon Barkley right tackle for 25 yards touchdown,3.910,7.000
4,7:56,,,BAL 15,21,12,Jake Elliott kicks extra point good,0.000,0.000
4,7:56,,,PHI 35,21,12,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,7:56,1,10,BAL 30,21,12,Derrick Henry right guard for 10 yards (tackle by Tristin McCollum),0.940,1.600
4,7:35,1,10,BAL 40,21,12,Lamar Jackson pass incomplete deep middle intended for Zay Flowers (defended by Quinyon Mitchell),1.600,1.050
4,7:27,2,10,BAL 40,21,12,Derrick Henry right guard for -1 yards (tackle by Jalen Carter),1.050,0.230
4,7:04,3,11,BAL 39,21,12,Lamar Jackson pass complete short left to Derrick Henry for 3 yards (tackle by Cooper DeJean),0.230,-0.590
4,6:19,4,8,BAL 42,21,12,Lamar Jackson pass incomplete deep middle intended for Zay Flowers (defended by Tristin McCollum),-0.590,-2.790
4,6:11,1,10,BAL 42,21,12,Saquon Barkley right guard for 8 yards (tackle by Chris Board),2.790,3.320
4,5:30,2,2,BAL 34,21,12,Saquon Barkley right tackle for 1 yard (tackle by Travis Jones),3.320,2.740
4,5:25,,,,,,Timeout #1 by Baltimore Ravens,,
4,5:25,3,1,BAL 33,21,12,Jalen Hurts up the middle for no gain (tackle by Roquan Smith and Nnamdi Madubuike),2.740,1.210
4,5:21,,,,,,Timeout #2 by Baltimore Ravens,,
4,5:21,4,1,BAL 33,21,12,Jalen Hurts up the middle for 3 yards (tackle by Roquan Smith and Kyle Hamilton),1.210,3.580
4,4:27,1,10,BAL 30,21,12,Saquon Barkley left end for 3 yards (tackle by Brandon Stephens),3.580,3.440
4,3:44,2,7,BAL 27,21,12,Saquon Barkley up the middle for no gain. Saquon Barkley fumbles (forced by Broderick Washington) recovered by Saquon Barkley at BAL-27,3.440,2.740
4,3:03,3,7,BAL 27,21,12,Saquon Barkley left guard for 7 yards (tackle by Chris Board and Ar'Darius Washington),2.740,4.240
