Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
2,3:20,3,10,CHI 30,0,13,Jared Goff pass incomplete deep right intended for Jahmyr Gibbs,2.340,1.410
2,3:15,4,10,CHI 30,0,16,Jake Bates 48 yard field goal good,1.410,3.000
2,3:11,,,DET 35,0,16,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,3:11,1,10,CHI 30,0,16,Caleb Williams pass complete short middle to Cole Kmet for 7 yards (tackle by David Long and Malcolm Rodriguez),0.940,1.340
2,2:44,2,3,CHI 37,0,16,Caleb Williams scrambles up the middle for no gain (tackle by Alim McNeill and D.J. Reader). Penalty on Braxton Jones: Offensive Holding 10 yards (accepted) (no play),1.340,-0.010
2,2:19,2,13,CHI 27,0,16,Caleb Williams pass incomplete short left intended for D.J. Moore,-0.010,-0.690
2,2:12,3,13,CHI 27,0,16,Caleb Williams scrambles left end for 10 yards (tackle by Jack Campbell),-0.690,-0.910
2,2:00,4,3,CHI 37,0,16,Caleb Williams pass incomplete deep right intended for D'Andre Swift (defended by Malcolm Rodriguez),-0.910,-3.120
2,1:54,1,10,CHI 37,0,16,David Montgomery left tackle for 3 yards (tackle by Kyler Gordon),3.120,2.980
2,1:15,2,7,CHI 34,0,16,Jared Goff pass incomplete short middle intended for Sam LaPorta (defended by Tyrique Stevenson),2.980,2.280
2,1:12,3,7,CHI 34,0,16,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by T.J. Edwards),2.280,1.720
2,1:04,,,,,,Timeout #2 by Chicago Bears,,
2,1:04,4,1,CHI 28,0,16,Penalty on Darrell Taylor: Neutral Zone Infraction 5 yards (accepted) (no play),1.720,4.040
2,1:04,1,10,CHI 23,0,16,David Montgomery up the middle for 4 yards (tackle by Gervon Dexter),4.040,4.050
2,1:01,,,,,,Timeout #3 by Chicago Bears,,
2,1:01,2,6,CHI 19,0,16,Jared Goff pass complete short right to Jahmyr Gibbs for 13 yards. Jahmyr Gibbs fumbles (tackle by Jonathan Owens recovered by Gervon Dexter at CHI-6,4.050,0.380
2,0:55,1,10,CHI 6,0,16,Caleb Williams pass complete short middle to Cole Kmet for 14 yards (tackle by Brian Branch),-0.380,0.280
2,0:31,1,10,CHI 20,0,16,Caleb Williams pass incomplete deep right intended for Rome Odunze,0.280,-0.270
2,0:31,2,10,CHI 20,0,16,Caleb Williams pass incomplete short right intended for Rome Odunze. Penalty on Jack Campbell: Illegal Contact 5 yards (accepted) (no play),-0.270,0.610
2,0:26,1,10,CHI 25,0,16,Caleb Williams pass complete short middle to D.J. Moore for 7 yards (tackle by Malcolm Rodriguez),0.610,0.870
2,0:11,2,4,CHI 31,0,16,Caleb Williams spiked the ball,0.870,0.170
2,0:09,,,,,,Timeout #2 by Detroit Lions,,
2,0:09,3,4,CHI 31,0,16,Caleb Williams pass incomplete deep right intended for Keenan Allen,0.170,-1.310
2,0:03,4,4,CHI 31,0,16,Caleb Williams pass incomplete deep right,-1.310,1.000
3,15:00,,,DET 35,0,16,Jake Bates kicks off 63 yards returned by DeAndre Carter for 24 yards (tackle by Pat O'Connor and David Long),0.000,0.670
3,14:54,1,10,CHI 26,0,16,D'Andre Swift up the middle for 4 yards (tackle by D.J. Reader and Mekhi Wingo),0.670,0.670
3,14:14,2,6,CHI 30,0,16,D'Andre Swift left end for 5 yards (tackle by Za'Darius Smith and Malcolm Rodriguez),0.670,0.630
3,13:36,3,1,CHI 35,0,16,D'Andre Swift right tackle for 5 yards (tackle by Kindle Vildor),0.630,1.600
3,13:01,1,10,CHI 40,0,16,Caleb Williams sacked by D.J. Reader for -4 yards,1.600,0.510
3,12:20,2,14,CHI 36,0,16,Caleb Williams pass incomplete short middle intended for D.J. Moore,0.510,-0.160
3,12:07,3,14,CHI 36,0,16,Caleb Williams pass complete deep left to Keenan Allen for 18 yards (tackle by Kerby Joseph),-0.160,2.520
3,11:43,1,10,DET 46,0,16,Caleb Williams pass complete short left to D.J. Moore for 6 yards (tackle by Jack Campbell and Malcolm Rodriguez),2.520,2.790
3,10:48,2,4,DET 40,0,16,Caleb Williams scrambles right end for 9 yards (tackle by Jack Campbell),2.790,3.510
3,9:54,1,10,DET 31,6,16,Caleb Williams pass complete deep middle to Keenan Allen for 31 yards touchdown,3.510,7.000
