Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
2,3:30,,,CIN 35,14,10,Cade York kicks off 65 yards touchback.,0.000,0.940
2,3:30,1,10,DAL 30,14,10,Cooper Rush pass incomplete short middle intended for Jonathan Mingo,0.940,0.390
2,3:26,2,10,DAL 30,14,10,Rico Dowdle left guard for 3 yards (tackle by B.J. Hill and Germaine Pratt),0.390,0.100
2,2:48,3,7,DAL 33,14,10,Penalty on Jake Ferguson: False Start 5 yards (accepted) (no play),0.100,-0.560
2,2:32,3,12,DAL 28,14,10,Cooper Rush sacked by Joseph Ossai for -8 yards,-0.560,-2.030
2,2:00,4,20,DAL 20,14,10,Bryan Anger punts 47 yards returned by Isaiah Williams for 12 yards (tackle by C.J. Goodwin),-2.030,-1.930
2,1:50,1,10,CIN 45,14,10,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Eric Kendricks and Jourdan Lewis),1.930,2.650
2,1:25,1,10,DAL 44,14,10,Joe Burrow pass complete short left to Andrei Iosivas for 6 yards (tackle by Eric Kendricks),2.650,2.920
2,1:02,2,4,DAL 38,14,10,Joe Burrow pass complete short left to Ja'Marr Chase for 16 yards (tackle by Jourdan Lewis),2.920,4.110
2,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:52,1,10,DAL 22,14,10,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase (defended by Trevon Diggs),4.110,3.560
2,0:47,2,10,DAL 22,14,10,Joe Burrow pass complete short left to Chase Brown for 3 yards (tackle by Jourdan Lewis and DaRon Bland),3.560,3.260
2,0:38,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:38,3,7,DAL 19,14,10,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.260,2.180
2,0:34,4,7,DAL 19,17,10,Cade York 37 yard field goal good,2.180,3.000
2,0:30,,,CIN 35,17,10,Cade York kicks off 65 yards touchback.,0.000,0.940
2,0:30,1,10,DAL 30,17,10,Cooper Rush pass complete short right to Hunter Luepke for 5 yards (tackle by Josh Newton),0.940,1.070
2,0:24,2,5,DAL 35,17,10,Cooper Rush pass incomplete short right intended for Jake Ferguson (defended by Germaine Pratt),1.070,0.370
2,0:20,3,5,DAL 35,17,10,Cooper Rush pass incomplete short right intended for Brandin Cooks,0.370,-1.040
2,0:15,4,5,DAL 35,17,10,Bryan Anger punts 51 yards returned by Isaiah Williams for no gain (tackle by Luke Schoonmaker and Brevyn Spann-Ford). Penalty on Tycen Anderson: Offensive Illegal Block Above the Waist 7 yards (accepted),-1.040,0.380
2,0:03,1,10,CIN 7,17,10,Joe Burrow kneels for -1 yards,-0.380,-0.850
3,15:00,,,CIN 35,17,10,Cade York kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DAL 30,17,10,Cooper Rush pass incomplete short right intended for Jalen Tolbert,0.940,0.390
3,14:54,2,10,DAL 30,17,10,Cooper Rush pass complete short right to Brandin Cooks for no gain (tackle by Josh Newton). Penalty on Josh Newton: Illegal Contact 5 yards (accepted) (no play),0.390,1.270
3,14:34,1,10,DAL 35,17,10,Rico Dowdle left tackle for 3 yards (tackle by B.J. Hill and Akeem Davis-Gaither),1.270,1.130
3,14:01,2,7,DAL 38,17,10,KaVontae Turpin right end for 5 yards (tackle by Kris Jenkins),1.130,1.090
3,13:26,3,2,DAL 43,17,10,Cooper Rush pass complete deep middle to KaVontae Turpin for 16 yards (tackle by Geno Stone),1.090,2.850
3,12:43,1,10,CIN 41,17,10,Cooper Rush pass complete short right to Luke Schoonmaker for 8 yards (tackle by Josh Newton),2.850,3.390
3,12:03,2,2,CIN 33,17,10,Rico Dowdle right tackle for 27 yards (tackle by Geno Stone),3.390,5.830
3,11:19,1,6,CIN 6,17,10,Ezekiel Elliott left guard for 3 yards (tackle by Myles Murphy),5.830,5.530
3,10:37,2,3,CIN 3,17,16,Cooper Rush pass complete short right to Brandin Cooks for 3 yards touchdown. Penalty on Josh Newton: Defensive Holding 5 yards (declined),5.530,7.000
3,10:32,,,CIN 15,17,17,Brandon Aubrey kicks extra point good,0.000,0.000
3,10:32,,,DAL 35,17,17,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,10:32,1,10,CIN 30,17,17,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Trevon Diggs),0.940,1.470
3,9:57,2,2,CIN 38,17,17,Chase Brown left guard for 9 yards (tackle by Jourdan Lewis),1.470,2.060
