Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
3,10:56,3,8,JAX 6,0,3,Mac Jones pass complete short right to Evan Engram for 7 yards (tackle by Luke Gifford),-1.190,-2.490
3,10:15,4,1,JAX 13,0,3,Logan Cooke punts 53 yards fair catch by Mason Kinsey at TEN-34,-2.490,-1.200
3,10:07,1,10,TEN 34,0,3,Will Levis pass incomplete short right intended for David Martin-Robinson,1.200,0.660
3,10:03,2,10,TEN 34,0,3,Tony Pollard right guard for 4 yards (tackle by Montaric Brown),0.660,0.500
3,9:24,3,6,TEN 38,0,3,Will Levis pass complete short right to Tyler Boyd for 7 yards (tackle by Jarrian Jones),0.500,1.930
3,8:45,1,10,TEN 45,0,3,Will Levis pass complete deep left to Nick Westbrook-Ikhine for 19 yards (tackle by Antonio Johnson),1.930,3.180
3,8:20,1,10,JAX 36,0,3,Will Levis pass complete short middle to Tyjae Spears for 2 yards (tackle by Foyesade Oluokun),3.180,2.910
3,7:42,2,8,JAX 34,0,3,Will Levis pass complete short middle to Calvin Ridley for 4 yards (tackle by Montaric Brown),2.910,2.740
3,7:09,3,4,JAX 30,0,3,Will Levis pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Antonio Johnson),2.740,3.840
3,6:37,1,10,JAX 26,0,3,Tony Pollard up the middle for 3 yards (tackle by Tyler Lacy and Ventrell Miller),3.840,3.700
3,6:01,2,7,JAX 23,0,3,Will Levis pass complete short left to Chigoziem Okonkwo for -6 yards (tackle by Josh Hines-Allen),3.700,2.210
3,5:14,3,13,JAX 29,0,3,Will Levis pass complete short left to Josh Whyle for 8 yards (tackle by Antonio Johnson and Tyson Campbell),2.210,2.110
3,4:35,4,5,JAX 21,0,6,Nick Folk 39 yard field goal good,2.110,3.000
3,4:30,,,TEN 35,0,6,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,4:30,1,10,JAX 30,0,6,Mac Jones pass complete short right to Brian Thomas for 5 yards (tackle by Jarvis Brownlee),0.940,1.070
3,4:00,2,5,JAX 35,0,6,Mac Jones pass complete short right to Brian Thomas for 8 yards (tackle by Jarvis Brownlee),1.070,1.800
3,3:34,1,10,JAX 43,0,6,Mac Jones pass complete short right to Brian Thomas for 5 yards,1.800,1.930
3,3:02,2,5,JAX 48,0,6,Mac Jones pass complete short right to Brian Thomas for 6 yards (tackle by Chidobe Awuzie),1.930,2.520
3,2:18,1,10,TEN 46,0,6,Tank Bigsby right end for 8 yards (tackle by Amani Hooker),2.520,3.060
3,1:44,2,2,TEN 38,0,6,Tank Bigsby up the middle for 7 yards (tackle by Daryl Worley and Arden Key),3.060,3.510
3,1:13,1,10,TEN 31,0,6,Tank Bigsby left tackle for -1 yards (tackle by Luke Gifford),3.510,2.830
3,0:36,2,11,TEN 32,0,6,Mac Jones pass complete short right to Parker Washington for 8 yards (tackle by Luke Gifford),2.830,3.200
4,15:00,3,3,TEN 24,0,6,Tank Bigsby up the middle for 1 yard (tackle by Arden Key and Sebastian Joseph-Day),3.200,2.050
4,14:13,4,2,TEN 23,0,6,Tank Bigsby up the middle for 12 yards (tackle by Jarvis Brownlee and Amani Hooker),2.050,4.840
4,13:28,1,10,TEN 11,0,6,Travis Etienne up the middle for 1 yard (tackle by Amani Hooker),4.840,4.320
4,12:53,2,9,TEN 10,0,6,Mac Jones pass complete short left to Brian Thomas for 5 yards (tackle by Darrell Baker),4.320,4.440
4,12:18,3,4,TEN 5,0,6,Mac Jones pass incomplete short right intended for Brian Thomas,4.440,3.010
4,12:12,4,4,TEN 5,3,6,Cam Little 23 yard field goal good,3.010,3.000
4,12:09,,,JAX 35,3,6,Cam Little kicks off 65 yards returned by Tyjae Spears for 33 yards (tackle by Caleb Johnson),0.000,0.810
4,12:03,1,10,TEN 28,3,6,Tony Pollard up the middle for 21 yards (tackle by Darnell Savage),0.810,2.190
4,11:37,1,10,TEN 49,3,6,Tony Pollard left guard for 4 yards (tackle by Devin Lloyd and Tyler Lacy),2.190,2.190
4,11:00,2,6,JAX 47,3,6,Will Levis pass incomplete short left intended for Calvin Ridley (defended by Jarrian Jones),2.190,1.490
4,10:52,3,6,JAX 47,3,6,Will Levis sacked by Jarrian Jones for -9 yards,1.490,-0.460
4,10:15,4,15,TEN 44,3,6,Ryan Stonehouse punts 45 yards returned by Devin Duvernay for 8 yards (tackle by Bryce Oliver),-0.460,-0.150
4,10:07,1,10,JAX 19,3,6,Mac Jones pass complete deep right to Brian Thomas for 21 yards (tackle by Darrell Baker),0.150,1.600
4,9:41,1,10,JAX 40,3,6,Travis Etienne up the middle for 11 yards (tackle by Chidobe Awuzie),1.600,2.320
4,9:18,1,10,TEN 49,3,6,Travis Etienne up the middle for 1 yard (tackle by Luke Gifford),2.320,1.920
4,8:40,2,9,TEN 48,3,6,Mac Jones pass complete short right to Brian Thomas for 5 yards (tackle by Daryl Worley),1.920,1.880
4,8:02,3,4,TEN 43,3,6,Mac Jones pass complete deep left to Brian Thomas for 31 yards (tackle by Daryl Worley),1.880,4.780
4,7:33,1,10,TEN 12,3,6,Tank Bigsby left guard for 4 yards (tackle by Arden Key),4.780,4.830
4,6:51,2,6,TEN 8,9,6,Tank Bigsby left tackle for 8 yards touchdown,4.830,7.000
4,6:46,,,TEN 15,10,6,Cam Little kicks extra point good,0.000,0.000
4,6:46,,,JAX 35,10,6,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,6:46,1,10,TEN 30,10,6,Will Levis pass complete deep middle to Calvin Ridley for 30 yards (tackle by Montaric Brown),0.940,2.920
4,6:11,1,10,JAX 40,10,6,Tony Pollard up the middle for -2 yards (tackle by DaVon Hamilton),2.920,2.100
4,5:37,2,12,JAX 42,10,6,Will Levis pass complete short right to Tony Pollard for 9 yards (tackle by Jarrian Jones and Montaric Brown),2.100,2.610
