Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
3,8:19,1,10,ARI 29,24,10,Geno Smith pass complete short middle to Zach Charbonnet for 8 yards (tackle by Xavier Thomas),3.640,4.180
3,7:40,2,2,ARI 21,24,10,Zach Charbonnet left tackle for 7 yards (tackle by Garrett Williams and Jalen Thompson),4.180,4.650
3,6:55,1,10,ARI 14,24,10,Zach Charbonnet left end for no gain (tackle by Dante Stills and Jesse Luketa),4.650,4.000
3,6:18,2,10,ARI 14,24,10,Geno Smith aborted snap recovered by Jaxon Smith-Njigba at ARI-21 (tackle by Baron Browning),4.000,2.840
3,5:38,3,14,ARI 18,24,10,Geno Smith pass incomplete deep right intended for Tyler Lockett (defended by Max Melton),2.840,2.250
3,5:33,4,14,ARI 18,27,10,Jason Myers 36 yard field goal good,2.250,3.000
3,5:29,,,SEA 35,27,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
3,5:29,1,10,ARI 30,27,10,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Riq Woolen and Tyrice Knight),0.940,1.660
3,4:49,1,10,ARI 41,27,10,Kyler Murray pass incomplete short middle intended for Marvin Harrison (defended by Tyrice Knight),1.660,1.120
3,4:46,2,10,ARI 41,27,10,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Jarran Reed),1.120,0.430
3,4:42,3,10,ARI 41,27,10,Kyler Murray pass complete short middle to Emari Demercado for 7 yards (tackle by Leonard Williams and Josh Jobe),0.430,-0.190
3,4:00,4,3,ARI 48,27,10,Kyler Murray pass complete short middle to Trey McBride for 14 yards (tackle by Riq Woolen),-0.190,3.050
3,3:31,1,10,SEA 38,27,10,Kyler Murray pass complete short left to Marvin Harrison for 14 yards (tackle by Julian Love and Tyrice Knight),3.050,3.970
3,3:06,1,10,SEA 24,27,10,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Tyrice Knight),3.970,4.290
3,2:50,2,4,SEA 18,27,10,James Conner up the middle for 3 yards (tackle by Devon Witherspoon),4.290,4.170
3,2:22,3,1,SEA 15,27,10,James Conner up the middle for 13 yards (tackle by Riq Woolen and Julian Love),4.170,6.740
3,1:51,1,2,SEA 2,27,10,Kyler Murray pass incomplete short right intended for Trey McBride (defended by Riq Woolen),6.740,5.720
