Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
2,6:17,1,10,NYG 49,7,3,Drew Lock pass incomplete short left intended for Darius Slayton (defended by Ugo Amadi),2.190,1.650
2,6:10,2,10,NYG 49,7,3,Devin Singletary right guard for 4 yards (tackle by Isaiah Foskey and John Ridgeway),1.650,1.490
2,5:27,3,6,NOR 47,7,3,Drew Lock scrambles up the middle for 2 yards (tackle by Will Harris),1.490,0.270
2,4:36,4,4,NOR 45,7,3,Penalty on Drew Lock: Delay of Game 5 yards (accepted) (no play),0.270,-0.060
2,4:24,4,9,NOR 50,7,3,Jamie Gillan punts 30 yards fair catch by Dante Pettis at NO-20,-0.060,-0.280
2,4:17,1,10,NOR 20,7,3,Alvin Kamara left tackle for 1 yard (tackle by Tyler Nubin),0.280,-0.130
2,3:52,2,9,NOR 21,7,3,Derek Carr pass complete short middle to Alvin Kamara for 11 yards (tackle by Darius Muasau),-0.130,1.070
2,3:20,1,10,NOR 32,7,3,Alvin Kamara right guard for 4 yards (tackle by Greg Stroman),1.070,1.070
2,2:45,2,6,NOR 36,7,3,Derek Carr sacked by Brian Burns for -9 yards. Derek Carr fumbles (forced by Brian Burns) recovered by Derek Carr at NO-27,1.070,-0.820
2,2:00,3,15,NOR 27,7,3,Alvin Kamara right end for -2 yards (tackle by Brian Burns and Elijah Chatman),-0.820,-1.700
2,1:54,,,,,,Timeout #1 by New York Giants,,
2,1:54,4,17,NOR 25,7,3,Matthew Hayball punts 38 yards fair catch by Ihmir Smith-Marsette at NYG-37,-1.700,-1.400
2,1:49,1,10,NYG 37,7,3,Drew Lock pass complete short middle to Daniel Bellinger for 5 yards (tackle by Demario Davis),1.400,1.530
2,1:33,2,5,NYG 42,7,3,Drew Lock pass complete short middle to Tyrone Tracy for 9 yards (tackle by Will Harris and Ugo Amadi),1.530,2.320
2,1:08,1,10,NOR 49,7,3,Drew Lock pass complete short middle to Tyrone Tracy for 5 yards (tackle by Demario Davis and Tyrann Mathieu),2.320,2.460
2,0:45,2,5,NOR 44,7,3,Drew Lock pass incomplete short middle intended for Tyrone Tracy (defended by Cameron Jordan),2.460,1.750
2,0:41,3,5,NOR 44,7,3,Drew Lock pass incomplete short left intended for Jalin Hyatt,1.750,0.330
2,0:36,,,,,,Timeout #1 by New Orleans Saints,,
2,0:36,4,5,NOR 44,7,3,Penalty on Casey Kreiter: False Start 5 yards (accepted) (no play),0.330,0.000
2,0:36,4,10,NOR 49,7,3,Jamie Gillan punts 33 yards fair catch by Dante Pettis at NO-16,0.000,0.140
2,0:29,1,10,NOR 16,7,3,Derek Carr pass complete short left to Marquez Valdes-Scantling for 7 yards,-0.140,0.420
2,0:26,2,3,NOR 23,7,3,Derek Carr pass complete short middle to Alvin Kamara for 8 yards (tackle by Isaiah Simmons),0.420,1.000
2,0:19,,,,,,Timeout #2 by New Orleans Saints,,
2,0:19,1,10,NOR 31,7,3,Derek Carr pass incomplete deep middle intended for Marquez Valdes-Scantling,1.000,0.460
2,0:14,2,10,NOR 31,7,3,Derek Carr pass incomplete short middle intended for Dante Pettis,0.460,-0.230
2,0:10,3,10,NOR 31,7,3,Derek Carr pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Tyler Nubin: Defensive Pass Interference 27 yards (accepted) (no play),-0.230,2.790
2,0:04,,,,,,Timeout #2 by New York Giants,,
2,0:04,1,10,NYG 42,7,3,Blake Grupe 60 yard field goal no good blocked by Casey Rogers,2.790,2.190
3,15:00,,,NOR 35,7,3,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,7,3,Tyrone Tracy right guard for 7 yards (tackle by Khalen Saunders and Carl Granderson),0.940,1.340
3,14:24,2,3,NYG 37,7,3,Tyrone Tracy right guard for 1 yard (tackle by Ugo Amadi),1.340,0.760
3,13:57,3,2,NYG 38,7,3,Tyrone Tracy left guard for no gain (tackle by Chase Young and Will Harris),0.760,-0.850
3,13:32,4,2,NYG 38,7,3,Jamie Gillan punts 41 yards fair catch by Dante Pettis at NO-21,-0.850,-0.340
3,13:25,1,10,NOR 21,7,3,Alvin Kamara left tackle for no gain (tackle by Tre Hawkins). Penalty on Brian Burns: Defensive Offside 5 yards (accepted) (no play),0.340,1.070
3,13:03,1,5,NOR 26,7,3,Alvin Kamara left tackle for 3 yards (tackle by Darius Muasau and Brian Burns),1.070,0.880
3,12:26,2,2,NOR 29,7,3,Alvin Kamara right tackle for 1 yard (tackle by Elijah Garcia),0.880,0.300
3,11:50,3,1,NOR 30,7,3,Jamaal Williams right guard for 2 yards (tackle by Tre Hawkins),0.300,1.070
3,11:15,1,10,NOR 32,7,3,Derek Carr pass complete deep right to Juwan Johnson for 15 yards. Juwan Johnson fumbles (tackle by Micah McFadden) recovered by Marquez Valdes-Scantling at NO-47 and returned for 1 yard (tackle by Micah McFadden). Penalty on Elijah Garcia: Defensive Offside 5 yards (declined),1.070,2.130
3,10:50,1,10,NOR 48,7,3,Derek Carr pass incomplete short right intended for Kevin Austin,2.130,1.580
3,10:46,2,10,NOR 48,7,3,Derek Carr pass complete short left to Alvin Kamara for no gain (tackle by Elijah Chatman). Penalty on Taliese Fuaga: Illegal Formation 5 yards (accepted) (no play),1.580,0.910
3,10:24,2,15,NOR 43,7,3,Derek Carr pass complete short middle to Jamaal Williams for 5 yards (tackle by Darius Muasau),0.910,0.890
3,9:41,3,10,NOR 48,7,3,Derek Carr pass deep left intended for Kevin Austin is intercepted by Tre Hawkins at NYG-17 and returned for no gain (tackle by Kevin Austin),0.890,0.060
3,9:33,1,10,NYG 17,7,3,Penalty on Malik Nabers: False Start 5 yards (accepted) (no play),-0.060,-0.510
