Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
4,6:26,1,5,MIN 7,21,35,Cam Akers left tackle for 4 yards (tackle by Eddie Goldman),-0.190,-0.120
4,5:46,2,1,MIN 11,21,35,Penalty on Johnny Mundt: False Start 5 yards (accepted) (no play),-0.120,-0.490
4,5:46,2,6,MIN 6,21,35,Cam Akers up the middle for 25 yards (tackle by Justin Simmons and Clark Phillips),-0.490,1.000
4,5:00,1,10,MIN 31,21,35,Cam Akers left end for 11 yards (tackle by Jessie Bates and Kaden Elliss),1.000,1.730
4,4:16,1,10,MIN 42,21,35,Cam Akers left end for no gain (tackle by Lorenzo Carter). Penalty on Lorenzo Carter: Face Mask (15 Yards) 15 yards (accepted) (no play),1.730,2.720
4,4:06,1,10,ATL 43,21,35,Sam Darnold pass complete short right to Josh Oliver for 26 yards (tackle by Kaden Elliss),2.720,4.440
4,3:53,,,,,,Timeout #2 by Minnesota Vikings,,
4,3:53,1,10,ATL 17,21,35,Aaron Jones right tackle for 2 yards (tackle by David Onyemata and Nathan Landman),4.440,4.150
4,3:49,,,,,,Timeout #1 by Atlanta Falcons,,
4,3:49,2,8,ATL 15,21,35,Aaron Jones left end for no gain (tackle by Clark Phillips),4.150,3.340
4,3:43,,,,,,Timeout #2 by Atlanta Falcons,,
4,3:43,3,8,ATL 15,21,41,Aaron Jones right guard for 15 yards touchdown,3.340,7.000
4,3:38,,,ATL 15,21,42,Will Reichard kicks extra point good,0.000,0.000
4,3:38,,,MIN 35,21,42,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,3:38,1,10,ATL 30,21,42,Bijan Robinson up the middle for 1 yard (tackle by Jihad Ward),0.940,0.530
4,3:15,2,9,ATL 31,21,42,Kirk Cousins pass complete short left to Darnell Mooney for 14 yards (tackle by Brian Asamoah),0.530,1.930
4,3:07,1,10,ATL 45,21,42,Bijan Robinson right guard for 6 yards (tackle by Jerry Tillery),1.930,2.190
4,2:44,2,4,MIN 49,21,42,Kirk Cousins pass complete short right to Drake London for 14 yards (tackle by Theo Jackson),2.190,3.250
4,2:38,1,10,MIN 35,21,42,Penalty on Kyle Pitts: False Start 5 yards (accepted) (no play),3.250,2.920
4,2:38,1,15,MIN 40,21,42,Kirk Cousins pass complete short middle to Kyle Pitts for no gain (tackle by Kamu Grugier-Hill). Penalty on Brian Asamoah: Defensive Offside 5 yards (accepted) (no play),2.920,3.250
4,2:33,1,10,MIN 35,21,42,Bijan Robinson left end for 6 yards (tackle by Josh Metellus and Theo Jackson),3.250,3.510
4,2:10,2,4,MIN 29,21,42,Kirk Cousins pass complete short left to Darnell Mooney for 9 yards (tackle by Kamu Grugier-Hill),3.510,4.240
4,2:00,1,10,MIN 20,21,42,Penalty on Matthew Bergeron: False Start 5 yards (accepted) (no play),4.240,3.910
4,2:00,1,15,MIN 25,21,42,Ray-Ray McCloud right end for 3 yards (tackle by Fabian Moreau and Bo Richter),3.910,3.420
4,1:29,2,12,MIN 22,21,42,Kirk Cousins pass complete short right to Drake London for 9 yards (tackle by Camryn Bynum and Fabian Moreau),3.420,4.100
4,0:55,3,3,MIN 13,21,42,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Theo Jackson),4.100,2.670
4,0:48,4,3,MIN 13,21,42,Kirk Cousins pass incomplete short middle intended for Kyle Pitts,2.670,0.280
4,0:44,1,10,MIN 14,21,42,Nick Mullens kneels for -1 yards,-0.280,-0.850
4,0:31,2,11,MIN 13,21,42,Nick Mullens kneels for -1 yards,-0.850,-1.650
